,alignment_name,accepted_name,coevol
213,Eucalyptus_ancophila_Mt_Annan_841467,Eucalyptus_ancophila,E_ancophilatnnan
214,Eucalyptus_albens_661,Eucalyptus_albens,E_albens
215,Eucalyptus_virens_598,Eucalyptus_virens,E_virens
216,Eucalyptus_fergusonii_subsp_fergusonii_740,Eucalyptus_fergusonii,E_fergusonii
217,Eucalyptus_quadricostata_8603516,Eucalyptus_quadricostata,E_quadricostata
218,Eucalyptus_atrata_8603434,Eucalyptus_atrata,E_atrata
219,Eucalyptus_beaniana_CANB_842071,Eucalyptus_beaniana,E_beaniana
220,Eucalyptus_conica_AHT_E9,Eucalyptus_conica,E_conica
221,Eucalyptus_dawsonii_762,Eucalyptus_dawsonii,E_dawsonii
222,Eucalyptus_tholiformis_AHT_E13,Eucalyptus_tholiformis,E_tholiformis
223,Eucalyptus_orgadophila_AHT_E10,Eucalyptus_orgadophila,E_orgadophila
224,Eucalyptus_sicilifolia_8603421,Eucalyptus_sicilifolia,E_sicilifolia
225,Eucalyptus_distans_CANB_409167,Eucalyptus_distans,E_distans
226,Eucalyptus_howittiana_496,Eucalyptus_howittiana,E_howittiana
227,Eucalyptus_pruinosa_subsp_pruinosa_Mt_Annan_841760,Eucalyptus_pruinosa,E_pruinosa
228,Eucalyptus_populnea_MC_10633,Eucalyptus_populnea,E_populnea
229,Eucalyptus_viridis_767,Eucalyptus_viridis,E_viridis
230,Eucalyptus_rudderi_614,Eucalyptus_rudderi,E_rudderi
231,Eucalyptus_placita_AHT_E25,Eucalyptus_placita,E_placita
232,Eucalyptus_thozetiana_MC_10632,Eucalyptus_thozetiana,E_thozetiana
233,Eucalyptus_obesa_70,Eucalyptus_obesa,E_obesa
234,Eucalyptus_magnificata_672,Eucalyptus_magnificata,E_magnificata
235,Eucalyptus_intertexta_204,Eucalyptus_intertexta,E_intertexta
236,Eucalyptus_ochrophloia_CANB_785600,Eucalyptus_ochrophloia,E_ochrophloia
237,Eucalyptus_granitica_Mt_Annan_831413,Eucalyptus_granitica,E_graniticatnnan
238,Eucalyptus_lucens_526,Eucalyptus_lucens,E_lucens
239,Eucalyptus_farinosa_CANB_738929,Eucalyptus_farinosa,E_farinosa
240,Eucalyptus_patellaris_CANB_558538,Eucalyptus_patellaris,E_patellaris
241,Eucalyptus_decorticans_73445,Eucalyptus_decorticans,E_decorticans
242,Eucalyptus_dura_775,Eucalyptus_dura,E_dura
243,Eucalyptus_melanoleuca_605,Eucalyptus_melanoleuca,E_melanoleuca
244,Eucalyptus_panda_228,Eucalyptus_panda,E_panda
245,Eucalyptus_decolor_486,Eucalyptus_decolor,E_decolor
246,Eucalyptus_rhombica_596,Eucalyptus_rhombica,E_rhombica
247,Eucalyptus_acroleuca_CANB_593424,Eucalyptus_acroleuca,E_acroleuca
248,Eucalyptus_fibrosa_subsp_fibrosa_631932,Eucalyptus_fibrosa,E_fibrosa
249,Eucalyptus_tetrapleura_746,Eucalyptus_tetrapleura,E_tetrapleura
250,Eucalyptus_crebra_ANBG_732903,Eucalyptus_crebra,E_crebra
251,Eucalyptus_scopulorum_670,Eucalyptus_scopulorum,E_scopulorum
252,Eucalyptus_caleyi_subsp_caleyi_651,Eucalyptus_caleyi,E_caleyi
253,Eucalyptus_rummeryi_735,Eucalyptus_rummeryi,E_rummeryi
254,Eucalyptus_confluens_CANB_785543,Eucalyptus_confluens,E_confluens
255,Eucalyptus_sparsa_AHT_E24,Eucalyptus_sparsa,E_sparsa
256,Eucalyptus_argillacea_CANB_785537,Eucalyptus_argillacea,E_argillacea
257,Eucalyptus_tephrodes_385,Eucalyptus_tephrodes,E_tephrodes
258,Eucalyptus_xerothermica_183,Eucalyptus_xerothermica,E_xerothermica
259,Eucalyptus_victrix_327,Eucalyptus_victrix,E_victrix
260,Eucalyptus_rodwayi_62705,Eucalyptus_rodwayi,E_rodwayi
261,Eucalyptus_wilcoxii_168,Eucalyptus_wilcoxii,E_wilcoxii
262,Eucalyptus_alligatrix_subsp_alligatrix_167,Eucalyptus_alligatrix,E_alligatrix
263,Eucalyptus_ignorabilis_379,Eucalyptus_ignorabilis,E_ignorabilis
264,Eucalyptus_nitens_ANBG_651034,Eucalyptus_nitens,E_nitens
265,Eucalyptus_vernicosa_ANBG_no_sn,Eucalyptus_vernicosa,E_vernicosa
266,Eucalyptus_perriniana_742,Eucalyptus_perriniana,E_perriniana
267,Eucalyptus_recurva_ANBG,Eucalyptus_recurva,E_recurva
268,Eucalyptus_saxatilis_7906246,Eucalyptus_saxatilis,E_saxatilis
