accepted_name,species_genome_size,Voucher specimen,Generalised location collected,Row,Tree (R.Gallagher sample tree in red),Year planted,1st budded,1st flowered,R.Gallagher samples,index,genome_size,CV sample,CV Solanum,fcm date,
Eucalyptus sturgissiana,Eucalyptus sturgissiana,DN 1757,"Sassafras, NSW",146,"09,10,11,12",1997,2003,2004,Batch 4 collected 29.11.15,0.444,1.15,2.92,2.39,11/12/2015,
Eucalyptus burdettiana,Eucalyptus burdettiana,DN 2246,"East Mt Barren, WA",173,"05,6,7,8",1999,2003,2005,Batch 4 collected 29.11.15,0.445,1.15,2.88,2.21,8/12/2015,
Eucalyptus pilularis,Eucalyptus pilularis,DN 644,"Kempsey, NSW",165,"19,20,21,22",1999,2008,2011,Batch 4 collected 29.11.15,0.445,1.15,3.34,2.25,8/12/2015,
Eucalyptus macrandra ,Eucalyptus macrandra ,DN 4430,"Gairdner River, WA",264,"04,5,6,7",2004,2008,2009,Batch 2 collected 10.11.15,0.445,1.15,2.98,2.4,20/11/2015,
NA,Eucalyptus selachiana,DN 1176,"Coburn Station, WA",63,"13,14,15,16",1995,1998,1998,Batch 5 collected 6.12.15,0.445,1.15,3.52,2.59,16/12/2015,
NA,Eucalyptus oblonga,DN 622,"Royal National Park, NSW",194,"27,28,29",2000,2013,2013,Batch 2 collected 10.11.15,0.446,1.16,3.49,1.86,23/11/2015,
Eucalyptus platyphylla,Eucalyptus platyphylla,CSIRO 12966,"Mareeba, QLD",156,"30,31,32,33",1999,2005,,Batch 7 collected 30.1.16,0.446229362,1.16,3.36,2.7,5/02/2016,
Eucalyptus longifolia,Eucalyptus longifolia,DN 1750,"Eden, NSW",144,"32,33,34,35",1997,2007,2008,Batch 4 collected 29.11.15,0.447,1.16,3.36,3.25,9/12/2015,
Eucalyptus mcquoidii,Eucalyptus mcquoidii,DN 3569,"Quoin Head, WA",220,"17,18,19,20",2001,2005,2006,Batch 1 collected 1.11.15,0.447,1.16,2.44,1.98,10/11/2015,
Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx subsp. banyabba,DN 2098,"Banyabba Nature Reserve, NSW",151,"05,6,7,8",1998,2013,,Batch 3 collected 22.11.15,0.447,1.16,3.34,3.51,1/12/2015,
Eucalyptus williamsiana,Eucalyptus williamsiana,DN 660,"Gibraltar Range Nat. Park, NSW",61,"33,34,35,36",1994,2001,2004,Batch 5 collected 6.12.15,0.447,1.16,3.6,3.41,20/12/2015,
Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida,DN 6319,"Jingera, NSW",283,"01,2,3,4",2013,,,Batch 6 collected 10.1.16,0.447427293,1.16,3.74,3.16,19/01/2016,
Eucalyptus sparsifolia,Eucalyptus sparsifolia,DN 629,"Faulconbridge, NSW",51,"09,10,11,12",1994,2000,2005,Batch 5 collected 6.12.15,0.448,1.16,4.11,2.79,16/12/2015,
Eucalyptus aurifodina,Eucalyptus aurifodina,DN 6104,"Meldon, VIC",281,"05,6,7,8",2013,,,Batch 6 collected 10.1.16,0.448028674,1.16,5.36,2.51,21/01/2016,
Eucalyptus sinuosa,Eucalyptus sinuosa,DN 5057,"Hammersley River, WA",300,"18,19,20,21",2010,,,Batch 4 collected 29.11.15,0.448,1.16,4.73,3.4,11/12/2015,
Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis,DN 1763,"Thirlmere, NSW",143,"13,14,15,16",1997,2006,2007,Batch 4 collected 29.11.15,0.448,1.16,3.18,2.19,9/12/2015,
Eucalyptus sieberi,Eucalyptus sieberi,DN 1749,"Mt Imlay, NSW",141,"21,22,23,24",1997,2001,2001,Batch 4 collected 29.11.15,0.448,1.16,3.47,2.52,9/12/2015,
Eucalyptus blaxlandii,Eucalyptus blaxlandii,DN 6284,"Kanangra Walls, NSW",241,"21,22,23",2013,,,Batch 6 collected 10.1.16,0.448430493,1.16,3.46,2.59,19/01/2016,
Eucalyptus gittinsii subsp. gittinsii,Eucalyptus gittinsii subsp. gittinsii,DN 3533,"Murchison River, WA",228,"25,26,27,28",2001,2004,2006,Batch 7 collected 30.1.16,0.448430493,1.16,4.94,2.78,9/02/2016,
Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,DN 1131,"Pallinup River, WA",69,"31,32,33,34",1995,1999,1999,Batch 6 collected 10.1.16,0.448430493,1.16,4.14,3.02,21/01/2016,
Eucalyptus bensonii,Eucalyptus bensonii,DN 773,"Wollemi, NSW",57,"01,2,3,4",1994,2000,,Batch 5 collected 6.12.15,0.449,1.16,3.86,2.94,16/12/2015,
Eucalyptus megacornuta,Eucalyptus megacornuta,DN 3578,"Desmond, WA",233,"29,30,31,32",2001,2004,2006,Batch 1 collected 1.11.15,0.449,1.16,2.32,2.34,11/11/2015,
Eucalyptus lehmannii subsp. lehmannii,Eucalyptus lehmannii subsp. lehmannii,DN 222,"Cape Riche, WA",85,"13,14,15,16",1996,2000,2002,Batch 3 collected 22.11.15,0.449,1.16,3.88,2.76,30/11/2015,
Eucalyptus lehmannii subsp. parallela ,Eucalyptus lehmannii subsp. parallela ,DN 3704,"No Tree Hill, WA",220,"05,6,7,8",2001,2004,2005,Batch 1 collected 1.11.15,0.449,1.16,2.74,3.04,10/11/2015,
Eucalyptus macarthurii,Eucalyptus macarthurii,DN 6282,"Boyd Plateau, NSW",243,"16,17,18,19",2013,,,Batch 6 collected 10.1.16,0.449438202,1.16,3.08,2.52,19/01/2016,
Eucalyptus apiculata,Eucalyptus apiculata,DN 772,"Wollemi National Park, NSW",152,"29,30,31,32",1998,2004,2005,Batch 3 collected 22.11.15,0.45,1.16,2.83,2.04,27/11/2015,
Eucalyptus conferruminata subsp. recherche ,Eucalyptus conferruminata subsp. recherche ,DN 4610,"Woody Island, WA",267,"01,2,3,4",2004,2009,2011,Batch 2 collected 10.11.15,0.45,1.16,2.71,2.28,20/11/2015,
Eucalyptus rubida,Eucalyptus rubida subsp. barbigarorum,DN 2939,"Glen Innes, NSW",193,"09,10,11,12",2000,2011,2013,Batch 2 collected 10.11.15,0.45,1.16,2.95,2.78,23/11/2015,
Eucalyptus muelleriana,Eucalyptus muelleriana,DN 1753,"Bodalla, NSW",142,"26,27,28,29",1997,2005,2007,Batch 4 collected 29.11.15,0.45,1.17,3.31,2.73,9/12/2015,
Eucalyptus ovata,Eucalyptus ovata subsp. ovata ,DN 1717,"Port Macdonnell, SA",145,"13,14,15,16",1997,2000,2001,Batch 4 collected 29.11.15,0.45,1.17,2.72,2.27,10/12/2015,
Eucalyptus badjensis,Eucalyptus badjensis,DN 1767,"Mother Woila, NSW",144,"08,9,10,11",1997,2013,2013,Batch 4 collected 29.11.15,0.45,1.17,3.14,2.59,10/12/2015,
Eucalyptus kruseana,Eucalyptus kruseana,DN 337,"Cardunia Rocks, WA",45,"21,22,23,24",1994,1996,1997,Batch 5 collected 6.12.15,0.45,1.17,4.12,2.54,14/12/2015,
Eucalyptus odontocarpa,Eucalyptus odontocarpa,DN 1199,"Lake Auld, WA",183,"29,30,31,32",2000,2013,2013,Batch 7 collected 30.1.16,0.450045005,1.17,4.03,3.11,5/02/2016,
Eucalyptus squamosa,Eucalyptus squamosa,DN 2072,"Glenbrook, NSW",158,"17,18,19,20",1998,2007,2011,Batch 3 collected 22.11.15,0.45,1.17,3.45,3.23,1/12/2015,
Eucalyptus conveniens,Eucalyptus conveniens,DN 3516,"Badgingarra, WA",227,"13,14,15,16",2001,2005,2007,Batch 1 collected 1.11.15,0.45,1.17,5.39,2.62,10/11/2015,
Eucalyptus kitsoniana ,Eucalyptus kitsoniana ,DN 4314,"Cape Otway, VIC",262,"13,14,15,16",2004,2009,2011,Batch 2 collected 10.11.15,0.45,1.17,2.57,2.09,20/11/2015,
Eucalyptus camphora subsp. camphora,Eucalyptus camphora subsp. camphora,DN 762,"Coxs Creek, NSW",154,"25,26,27,28",1998,2004,2004,Batch 3 collected 22.11.15,0.451,1.17,2.79,2.3,27/11/2015,
Eucalyptus prava,Eucalyptus prava,DN 671,"Mt Norman, QLD",52,"01,2,3,4",1994,1999,2000,Batch 5 collected 6.12.15,0.451,1.17,3.46,3.07,20/12/2015,
Eucalyptus hallii,Eucalyptus hallii,DN 716,"Goodwood, QLD",58,"04,5,6,7",1994,1999,1999,Batch 5 collected 6.12.15,0.451,1.17,3.54,2.67,16/12/2015,
Eucalyptus wilcoxii,Eucalyptus wilcoxii,DN 1768,"Mother Woila, NSW",208,"28,29,30,31",2002,2013,2013,Batch 2 collected 10.11.15,0.451,1.17,2.83,2.4,20/11/2015,
Eucalyptus crucis subsp. lanceolata,Eucalyptus crucis subsp. lanceolata,DN 5456,"Billyacatting Hill, WA",316,"09,10,11,12",2011,,,Batch 6 collected 10.1.16,0.451263538,1.17,3.74,2.63,20/01/2016,
Eucalyptus talyuberlup,Eucalyptus talyuberlup,DN 4804,"Kalgan River, WA",211,"17,18,19,20",2006,2013,,Batch 2 collected 10.11.15,0.451,1.17,2.36,2.07,23/11/2015,
Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,DN 5571,"Murchison House Station, WA",310,"09,10,11,12",2011,,,Batch 6 collected 10.1.16,0.451671183,1.17,5.46,3.08,20/01/2016,
Eucalyptus conspicua,Eucalyptus conspicua,DN 1747,"Narrabarba, NSW",262,"01,2,3,4",2004,2013,2013,Batch 2 collected 10.11.15,0.452,1.17,3.31,2.57,20/11/2015,
Eucalyptus cupularis,Eucalyptus cupularis,DN 1938,"Halls Creek, WA",136,"35,36,37",1997,,,Batch 4 collected 29.11.15,0.452,1.17,4.29,3.38,11/12/2015,
Eucalyptus eudesmioides ,Eucalyptus eudesmioides ,DN 279,"Bunjil, WA",25,"34,35,36,37",1993,1997,1997,Batch 6 collected 10.1.16,0.452079566,1.17,4.95,2.33,18/01/2016,
Eucalyptus haemastoma,Eucalyptus haemastoma,DN 6795,"Lake Macquarie, NSW",292,"09,10,11,12",2015,,,Batch 6 collected 10.1.16,0.452079566,1.17,3.43,2.55,22/01/2016,
Eucalyptus alligatrix subsp. miscella,Eucalyptus alligatrix subsp. miscella,DN 776,"Rylstone, NSW",48,"01,2,3,4",1994,2008,2008,Batch 5 collected 6.12.15,0.452,1.17,3.66,3.02,17/12/2015,
Eucalyptus langleyi,Eucalyptus langleyi,DN 6791,"Nowra, NSW",293,"13,14,15,16",2015,,,Batch 7 collected 30.1.16,0.452284034,1.17,3.6,2.95,5/02/2016,
Eucalyptus relicta,Eucalyptus relicta,DN 3550,"Whicher Range, WA",239,"17,18,19,20",2001,2013,,Batch 1 collected 1.11.15,0.452,1.17,2.59,1.97,9/11/2015,
Eucalyptus yarraensis,Eucalyptus yarraensis,DN 1728,"Dandenong Creek, VIC",138,"12,13,14,15",1997,2004,2005,Batch 3 collected 22.11.15,0.452,1.17,2.86,2.23,27/11/2015,
Eucalyptus perriniana,Eucalyptus perriniana,DN 584,"Nunniong Plateau, VIC",197,"01,2,3,4",2000,,,Batch 2 collected 10.11.15,0.453,1.17,2.23,2.12,19/11/2015,
Eucalyptus flindersii,Eucalyptus flindersii,DN 5230,"Pualco Hill, SA",303,"01,2,3,4",2010,,,Batch 4 collected 29.11.15,0.453,1.17,3.98,2.54,9/12/2015,
Eucalyptus bigalerita,Eucalyptus bigalerita,DN 1350,"Daly Waters, NT",89,"23,24,25",1996,,,Batch 7 collected 30.1.16,0.453309157,1.17,5.04,3.1,5/02/2016,
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,DN 1053,"Kangaroo Island, SA",75,"10,11,12,13",1995,2008,2008,Batch 7 collected 30.1.16,0.453309157,1.17,3.56,2.84,9/02/2016,
Eucalyptus stricta,Eucalyptus stricta,DN 5252,"Kings Tableland, NSW",306,"05,6,7,8",2010,,,Batch 4 collected 29.11.15,0.453,1.17,4.26,2.62,11/12/2015,
Eucalyptus bancroftii,Eucalyptus bancroftii,DN 1241,"Wells Crossing, NSW",95,"01,2,3,4",1996,2000,2002,Batch 3 collected 22.11.15,0.454,1.18,2.97,2.6,30/11/2015,
Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens,DN 641,"Williamtown, NSW",56,"08,9,10,11",1994,1998,1999,Batch 5 collected 6.12.15,0.454,1.18,4.23,2.99,14/12/2015,
Eucalyptus conferta,Eucalyptus conferta,DN 6781,"Vaughan, VIC",163,"09,10,11,12",2015,,,Batch 7 collected 30.1.16,0.454338937,1.18,3.92,2.92,5/02/2016,
Eucalyptus cornuta,Eucalyptus cornuta,DN 3748,"Bremer Bay, WA",230,"01,2,3,4",2001,2007,2008,Batch 1 collected 1.11.15,0.454,1.18,3.44,2.78,9/11/2015,
Eucalyptus ceratocorys,Eucalyptus ceratocorys,DN 2232,"Koorda, WA",175,"07,8,9,10",1999,2004,2005,Batch 4 collected 29.11.15,0.455,1.18,2.85,2.52,9/12/2015,
Eucalyptus retusa,Eucalyptus retusa,DN 4801,"Point Hood, WA",210,"14,15,16,17",2006,2009,2009,Batch 2 collected 10.11.15,0.455,1.18,2.83,2.2,20/11/2015,
Eucalyptus aggregata,Eucalyptus aggregata,DN 1224,Rydal NSW,92,"22,23,24,25",1996,2001,2002,Batch 3 collected 22.11.15,0.455,1.18,2.81,2.39,30/11/2015,
Eucalyptus dalrympleana,Eucalyptus dalrympleana subsp. 'Tasmania',DN 6736,"Derwent River, TAS",330,"09,10,11,12",2015,,,Batch 6 collected 10.1.16,0.45475216,1.18,4.27,2.95,20/01/2016,
Eucalyptus elliptica,Eucalyptus elliptica,DN 6228,"Apsley Falls, NSW",273,"01,2,3,4",2013,,,Batch 2 collected 10.11.15,0.455,1.18,2.18,2.19,18/11/2015,
Eucalyptus chloroclada,Eucalyptus chloroclada,DN 6148,"Nymagee, NSW",243,"20,21,22,23",2013,,,Batch 6 collected 10.1.16,0.455166136,1.18,3.85,2.48,19/01/2016,
Eucalyptus strzeleckii,Eucalyptus strzeleckii,DN 1725,"Gellibrand Lower, VIC",142,"05,6,7,8",1997,2004,2004,Batch 3 collected 22.11.15,0.455,1.18,3.12,2.62,27/11/2015,
Eucalyptus discreta,Eucalyptus discreta,DN 1091,"Cape Arid Nat. Park, WA",64,"05,6,7,8",1995,1997,2000,Batch 5 collected 6.12.15,0.455,1.18,3.12,2.71,20/12/2015,
Eucalyptus dorrigoensis,Eucalyptus dorrigoensis,DN 6798,"Dorrigo, NSW",331,"05,6,7,8",2015,,,Batch 6 collected 10.1.16,0.455373406,1.18,3.77,2.5,20/01/2016,
Eucalyptus pyrocarpa,Eucalyptus pyrocarpa,DN 2093,"Coast Range, NSW",308,"13,14,15,16",2010,,,Batch 4 collected 29.11.15,0.455,1.18,3.72,2.66,10/12/2015,
Eucalyptus educta,Eucalyptus educta,DN 335,"Callion, WA",12,"01,2,3,4",1993,1996,1996,Batch 6 collected 10.1.16,0.455788514,1.18,4.27,3.05,18/01/2016,
Eucalyptus luehmanniana,Eucalyptus luehmanniana,DN 6793,"Royal National Park, NSW",292,"05,6,7,8",2015,,,Batch 7 collected 30.1.16,0.455788514,1.18,3.35,2.48,8/02/2016,
Eucalyptus viminalis subsp. cygnetensis,Eucalyptus viminalis subsp. cygnetensis,DN 941,"Mikkira Station, SA",75,"26,27,28,29",1995,1998,2001,Batch 6 collected 10.1.16,0.455996352,1.18,3.47,2.66,21/01/2016,
Eucalyptus pachycalyx subsp. waajensis,Eucalyptus pachycalyx subsp. waajensis,DN 1265,"Cracow, QLD",162,"09,10",1998,,,Batch 3 collected 22.11.15,0.456,1.18,3.46,2.23,27/11/2015,
Eucalyptus leucophloia subsp. euroa,Eucalyptus leucophloia subsp. euroa,DN 1332,"Mt Isa, QLD",82,"18,19,20,21",1998,,,Batch 3 collected 22.11.15,0.457,1.18,4.95,3.13,1/12/2015,
Eucalyptus websteriana subsp. norsemanica,Eucalyptus websteriana subsp. norsemanica,DN 138,"Norseman, WA",14,"05,6,7,8",1993,1997,1997,Batch 6 collected 10.1.16,0.456621005,1.18,3.38,2.64,21/01/2016,
Eucalyptus wilcoxii,Eucalyptus wilcoxii,DN 1768,"Mother Woila, NSW",144,"16,17,18,19",1997,2006,2006,Batch 4 collected 29.11.15,0.457,1.18,3.38,2.62,11/12/2015,
Eucalyptus deanei,Eucalyptus deanei,DN 633,"Perrys Crossing, NSW",156,"01,2,3,4",1998,2006,2011,Batch 3 collected 22.11.15,0.457,1.18,3.27,2.26,27/11/2015,
Eucalyptus cladocalyx subsp. cladocalyx,Eucalyptus cladocalyx subsp. cladocalyx,DN 3182,"Coomunga, SA",229,"17,18,19,20",2001,2004,2004,Batch 7 collected 30.1.16,0.457038391,1.18,3.96,2.89,9/02/2016,
NA,Eucalyptus sp. Truslove,DN 3897,"Grass Patch, WA",204,"09,10,11,12",2002,2006,2007,Batch 7 collected 30.1.16,0.457038391,1.18,3.09,2.55,8/02/2016,
Eucalyptus cadens,Eucalyptus cadens,DN 1772,"Wangaratta, VIC",137,"01,2,3,4",1997,2004,2006,Batch 3 collected 22.11.15,0.457,1.18,3.3,2.59,27/11/2015,
Eucalyptus gillenii ,Eucalyptus gillenii,DN 2689,"Dean Range, WA",182,"11,12,13",2000,2006,2006,Batch 1 collected 1.11.15,0.457,1.18,4.55,3.53,11/11/2015,
Eucalyptus arcana,Eucalyptus arcana,DN 1800,"Carpenter Rocks, SA",145,"09,10,11,12",1997,1999,2002,Batch 4 collected 29.11.15,0.457,1.18,3.12,2.59,10/12/2015,
Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,DN 1765,"Araluen, NSW",141,"33,34,35,36",1997,2011,2013,Batch 4 collected 29.11.15,0.457,1.18,3.1,2.61,10/12/2015,
Eucalyptus brandiana,Eucalyptus brandiana,DN 5514,"Fitzgerald River, WA",313,"09,10,11,12",2011,,,Batch 4 collected 29.11.15,0.458,1.19,3.16,2.17,8/12/2015,
Eucalyptus erythrocorys,Eucalyptus erythrocorys,DN 5540,"Murchison House Station, WA",319,"19,20,21,22",2011,,,Batch 6 collected 10.1.16,0.457665904,1.19,5.92,2.46,19/01/2016,
Eucalyptus orbifolia,Eucalyptus orbifolia,DN 2774,"Diemals Station, WA",186,"26,27,28,29",2000,2007,2009,Batch 2 collected 10.11.15,0.458,1.19,1.73,2.13,23/11/2015,
Eucalyptus rigidula,Eucalyptus rigidula,DN 244,"Corrigin, WA",45,"01,2,3,4",1994,1998,1998,Batch 5 collected 6.12.15,0.458,1.19,3.08,2.72,20/12/2015,
Eucalyptus brookeriana,Eucalyptus brookeriana,DN 1988,"Brookeriana Forest Reserve, TAS",153,"29,30,31,32",1998,2007,,Batch 3 collected 22.11.15,0.458,1.19,2.74,2.19,26/11/2015,
Eucalyptus cinerea subsp. triplex,Eucalyptus cinerea subsp. triplex,DN 569,"Beechworth, VIC",56,"12,13,14,15",1994,2004,2004,Batch 5 collected 6.12.15,0.458,1.19,3.88,2.74,16/12/2015,
Eucalyptus nova-anglica,Eucalyptus nova-anglica,DN 656,"Guyra, NSW",57,"21,22,23,24",1994,2004,2011,Batch 5 collected 6.12.15,0.458,1.19,3.35,2.66,16/12/2015,
Eucalyptus infera,Eucalyptus infera,DN 1254,"Durikai State Forest, QLD",90,"26,27,28,29",1996,1999,1999,Batch 3 collected 22.11.15,0.458,1.19,2.82,2.08,26/11/2015,
Eucalyptus nicholii,Eucalyptus nicholii,DN 651,"Hillgrove, NSW",49,"28,29,30,31",1994,2000,2001,Batch 5 collected 6.12.15,0.458,1.19,3.58,2.49,17/12/2015,
Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,DN 5156,"Currency Creek, SA",303,"32,33,34,35",2010,,,Batch 4 collected 29.11.15,0.459,1.19,3.07,2.19,9/12/2015,
Eucalyptus camaldulensis subsp. obtusa ,Eucalyptus camaldulensis subsp. obtusa ,DN 4231,"Durack River, WA",244,"20,21,22,23",2002,2009,,Batch 6 collected 10.1.16,0.458926113,1.19,3.69,2.82,19/01/2016,
Eucalyptus latens,Eucalyptus latens,DN 5518,"Moich Creek, WA",311,"25,26,27,28",2011,2013,,Batch 6 collected 10.1.16,0.459136823,1.19,2.91,2.42,20/01/2016,
Eucalyptus scoparia,Eucalyptus scoparia,DN 672,"Mt Norman, QLD",72,"34,35,36,37",1995,2007,2011,Batch 6 collected 10.1.16,0.459136823,1.19,4.43,2.65,20/01/2016,
Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,DN 2941,"Guyra, NSW",194,"05,6,7,8",2000,2008,2009,Batch 2 collected 10.11.15,0.459,1.19,2.24,1.82,23/11/2015,
Eucalyptus denticulata,Eucalyptus denticulata,DN 1743,"Errinundra Plateau, VIC",146,"28,29,30,31",1997,2008,2011,Batch 7 collected 30.1.16,0.459347726,1.19,3.43,2.84,9/02/2016,
Eucalyptus fulgens,Eucalyptus fulgens,DN 1729,"Tynong, VIC",146,"05,6,7,8",1997,2004,2004,Batch 4 collected 29.11.15,0.459,1.19,3.74,2.9,11/12/2015,
Eucalyptus archeri,Eucalyptus archeri,DN 1990,"Breona, TAS",potted,,,,,Batch 7 collected 30.1.16,0.459558824,1.19,4.15,2.54,8/02/2016,very weak signal
Eucalyptus seeana,Eucalyptus seeana,DN 2089,"Lake Cathie, NSW",158,"29,30,31,32",1998,2005,2006,Batch 3 collected 22.11.15,0.46,1.19,2.8,2.22,27/11/2015,
Eucalyptus camaldulensis subsp. arida ,Eucalyptus camaldulensis subsp. arida ,DN 5077,"Stockyard Gully, WA",312,"13,14,15,16",2011,,,Batch 6 collected 10.1.16,0.459770115,1.19,3.63,2.43,21/01/2016,
Eucalyptus dendromorpha,Eucalyptus dendromorpha,DN 1758,"Fitzroy Falls, NSW",146,"25,26,27",1997,2005,,Batch 4 collected 29.11.15,0.46,1.19,3.4,2.62,11/12/2015,
Eucalyptus arborella,Eucalyptus arborella,DN 1127,"Twertup, WA",70,"29,30,31,32",1995,1999,2000,Batch 5 collected 6.12.15,0.46,1.19,3.2,2.95,17/12/2015,
Eucalyptus canobolensis,Eucalyptus canobolensis,DN 1222,"Mt Canobolas, NSW",91,19,1996,2003,2005,Batch 3 collected 22.11.15,0.46,1.19,2.96,2.37,30/11/2015,
Eucalyptus major,Eucalyptus major,DN 2107,"Helidon Hills, QLD",151,"09,10,11,12",1998,2008,2011,Batch 3 collected 22.11.15,0.46,1.19,2.99,2.3,30/11/2015,
Eucalyptus mannifera subsp. gullickii,Eucalyptus mannifera subsp. gullickii,DN 609,"Nerriga, NSW",55,"05,6,7,8",1994,2000,2001,Batch 5 collected 6.12.15,0.46,1.19,3.79,3.12,16/12/2015,
Eucalyptus smithii,Eucalyptus smithii,DN 598,"Mother Woila, NSW",51,"13,14,15,16",1994,2000,2002,Batch 5 collected 6.12.15,0.46,1.19,3.41,3.04,20/12/2015,
Eucalyptus grossa,Eucalyptus grossa,DN 123,"Newman Rock, WA",23,"01,2,2A,3,4",1993,1996,1997,Batch 6 collected 10.1.16,0.460405157,1.19,3.69,2.64,18/01/2016,
Eucalyptus vicina,Eucalyptus vicina,DN 728,"Hermidale, NSW",60,"01,2,3,4",1994,2000,2001,Batch 5 collected 6.12.15,0.46,1.19,3.75,3.01,17/12/2015,
Eucalyptus camaldulensis subsp. obtusa,Eucalyptus camaldulensis subsp. obtusa,DN 2489,"Daly Waters, NT",172,"15,16,17,18",1999,2006,2011,Batch 4 collected 29.11.15,0.461,1.19,3.31,2.68,11/12/2015,
Eucalyptus goniocalyx subsp. goniocalyx,Eucalyptus goniocalyx subsp. goniocalyx,DN 2952,"Hill End, NSW",190,"30,31,32,33",2000,2009,2011,Batch 2 collected 10.11.15,0.461,1.19,2.52,1.98,20/11/2015,
Eucalyptus paludicola,Eucalyptus paludicola,DN 69,"Cox Scrub, SA",Dam,"N,E,S,W",1995,1998,1998,Batch 7 collected 30.1.16,0.461041955,1.19,3.47,2.44,8/02/2016,
Eucalyptus raveretiana,Eucalyptus raveretiana,DN 1297,"Reid River, QLD",94,"14,15,16,17",1996,2005,2008,Batch 3 collected 22.11.15,0.461,1.2,2.43,2.32,30/11/2015,
Eucalyptus uncinata,Eucalyptus uncinata subsp. 'uncinata',DN 3453,"Quairading, WA",234,"29,30,31,32",2001,2006,2009,Batch 1 collected 1.11.15,0.462,1.2,3.21,2.39,12/11/2015,
Eucalyptus camaldulensis subsp. acuta,Eucalyptus camaldulensis subsp. acuta,DN 2553,"Dirranbandi, QLD",174,"13,14,15,16",1999,2008,2011,Batch 4 collected 29.11.15,0.462,1.2,3.75,2.18,8/12/2015,
Eucalyptus cinerea,Eucalyptus cinerea,DN 3211,"Marulan, NSW",237,"01,2,3,4",2001,2011,2011,Batch 1 collected 1.11.15,0.462,1.2,2.68,2.35,12/11/2015,
Eucalyptus camaldulensis subsp. arida ,Eucalyptus camaldulensis subsp. arida ,DN 4177,"Boulia, QLD",203,"01,2,3,4",2002,2011,2013,Batch 2 collected 10.11.15,0.462,1.2,2.44,2.21,18/11/2015,
NA,"Eucalyptus cephalocarpa",DN 1730,"Tynong, VIC",146,"01,2,3,4",1997,2003,2004,Batch 4 collected 29.11.15,0.462,1.2,2.94,2.72,9/12/2015,
Eucalyptus gamophylla,Eucalyptus gamophylla,DN 2678,"Warburton, WA",182,"15,16,17",2000,2011,2011,Batch 1 collected 1.11.15,0.462,1.2,3.72,2.06,12/11/2015,
Eucalyptus latens,Eucalyptus latens,DN 1613,"Boyagin Rock, WA",138,"01,2,3",1997,2006,2007,Batch 3 collected 22.11.15,0.463,1.2,2.5,2.39,27/11/2015,
Eucalyptus aromaphloia ,Eucalyptus aromaphloia ,DN 4313,"Lorne, VIC",264,"08,9,10,11",2004,2013,2013,Batch 2 collected 10.11.15,0.463,1.2,2.84,2.37,20/11/2015,
Eucalyptus baeuerlenii,Eucalyptus baeuerlenii,DN 6312,"Mt Sugarloaf, NSW",285,"01,2,3,4",2013,,,Batch 6 collected 10.1.16,0.462748727,1.2,2.98,2.89,19/01/2016,
Eucalyptus brevifolia,Eucalyptus brevifolia,DN 6640,"Tanami Desert, NT",296,"13,14,15,16",2015,,,Batch 7 collected 30.1.16,0.462748727,1.2,3.36,2.67,5/02/2016,
Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,DN 3523,"Northampton, WA",224,"21,22,23,24",2001,2011,,Batch 1 collected 1.11.15,0.463,1.2,3.16,2.35,10/11/2015,
Eucalyptus cuprea,Eucalyptus cuprea,DN 3536,"Murchison River, WA",235,"01,2,3,4",2001,2008,2010,Batch 1 collected 1.11.15,0.463,1.2,2.39,2.31,11/11/2015,
Eucalyptus goniocalyx subsp. viridissima  ,Eucalyptus goniocalyx subsp. viridissima  ,DN 3789,"Red Rock, VIC",204,"05,6,7,8",2002,2011,2011,Batch 2 collected 10.11.15,0.463,1.2,2.94,2.02,18/11/2015,
Eucalyptus pluricaulis subsp. pluricaulis,Eucalyptus pluricaulis subsp. pluricaulis,DN 1662,"Williams, WA",138,"32,33,34,35",1997,2001,2003,Batch 4 collected 29.11.15,0.463,1.2,2.68,2.47,9/12/2015,
Eucalyptus pluricaulis,Eucalyptus pluricaulis subsp. porphorea,DN 210,"Boxwood Hill, WA",71,"20,21,22,23",1995,1997,1999,Batch 5 collected 6.12.15,0.463,1.2,4.24,3.13,14/12/2015,
Eucalyptus gomphocephala,Eucalyptus gomphocephala,DN 1148,"Capel, WA",69,"11,12,13,14",1995,2002,2011,Batch 5 collected 6.12.15,0.463,1.2,2.49,2.11,17/12/2015,
Eucalyptus lane-poolei,Eucalyptus lanepoolei,DN 3514,"Mundijong, WA",236,"21,22,23,24",2001,2010,2011,Batch 1 collected 1.11.15,0.463,1.2,2.62,2.3,9/11/2015,
