accepted_name,coevol_name,mean_gs,mean_height,mean_SLA,mean_sm,genus
Eucalyptus_angustissima,E_angustissima,1.22,4.5,NA,0.4012,Eucalyptus
Eucalyptus_annettae,E_annettae,1.415,NA,NA,NA,Eucalyptus
Eucalyptus_annulata,E_annulata,1.21,7,NA,1.09,Eucalyptus
Eucalyptus_annuliformis,E_annuliformis,NA,3,NA,NA,Eucalyptus
Eucalyptus_apiculata,E_apiculata,1.16,6,33.26,4.61,Eucalyptus
Eucalyptus_apodophylla,E_apodophylla,1.14,NA,NA,1.6,Eucalyptus
Eucalyptus_apothalassica,E_apothalassica,1.09,15,NA,0.3104,Eucalyptus
Eucalyptus_approximans,E_approximans,1.14,6,NA,4.818933333,Eucalyptus
Eucalyptus_aquatica,E_aquatica,NA,NA,NA,0.244,Eucalyptus
Eucalyptus_aquilina,E_aquilina,0.97,7,NA,25,Eucalyptus
Eucalyptus_arachnaea,E_arachnaea,1.28,5,32.96,2.78716,Eucalyptus
Eucalyptus_arborella,E_arborella,1.19,5,45.68,NA,Eucalyptus
Eucalyptus_arcana,E_arcana,1.18,NA,NA,NA,Eucalyptus
Eucalyptus_archeri,E_archeri,1.19,12,NA,2.8,Eucalyptus
Eucalyptus_arenacea,E_arenacea,1.14,10,35.01,1.3972,Eucalyptus
Eucalyptus_arenicola,E_arenicola,1.14,NA,NA,NA,Eucalyptus
Eucalyptus_argillacea,E_argillacea,NA,NA,51.34,4,Eucalyptus
Eucalyptus_argophloia,E_argophloia,1.3,40,58.19,0.51,Eucalyptus
Eucalyptus_argutifolia,E_argutifolia,1.31,4,NA,0.9704,Eucalyptus
Eucalyptus_argyphea,E_argyphea,NA,15,33.35,1.9284,Eucalyptus
Eucalyptus_aromaphloia,E_aromaphloia,1.2,16.5,49.78,1.27,Eucalyptus
Eucalyptus_articulata,E_articulata,1.236666667,3,28.69,0.2375556,Eucalyptus
Eucalyptus_aspersa,E_aspersa,1.23,6,35.04,0.4216,Eucalyptus
Eucalyptus_aspratilis,E_aspratilis,1.24,5,NA,0.6732,Eucalyptus
Eucalyptus_assimilans,E_assimilans,1.37,NA,18.77,NA,Eucalyptus
Eucalyptus_astringens,E_astringens,1.355,15,35.71,4.3752,Eucalyptus
Eucalyptus_atrata,E_atrata,1.29,15,43.38,1.1096,Eucalyptus
Eucalyptus_aurifodina,E_aurifodina,1.16,NA,NA,NA,Eucalyptus
Eucalyptus_badjensis,E_badjensis,1.17,45,56.18,1.86,Eucalyptus
Eucalyptus_baeuerlenii,E_baeuerlenii,1.2,20,NA,5.4,Eucalyptus
Eucalyptus_baileyana,E_baileyana,1.26,40,39.74,27.85,Eucalyptus
Eucalyptus_baiophylla,E_baiophylla,1.28,NA,NA,NA,Eucalyptus
Eucalyptus_bakeri,E_bakeri,1.28,12,29.39,1,Eucalyptus
Eucalyptus_balladoniensis,E_balladoniensis,1.325,5,21.04,1.5352,Eucalyptus
Eucalyptus_bancroftii,E_bancroftii,1.18,15,43.74,2.20028,Eucalyptus
Eucalyptus_banksii,E_banksii,1.24,20,41.62,3.49,Eucalyptus
Eucalyptus_barberi,E_barberi,1.2,8,37.15,1.18,Eucalyptus
Eucalyptus_baudiniana,E_baudiniana,1.25,10,NA,NA,Eucalyptus
Eucalyptus_baueriana,E_baueriana,1.23,20,65.92,1.531,Eucalyptus
Eucalyptus_baxteri,E_baxteri,NA,40,NA,14.2,Eucalyptus
Eucalyptus_beaniana,E_beaniana,1.33,15,29.92,0.4116,Eucalyptus
Eucalyptus_beardiana,E_beardiana,1.24,4,33.87,2.28884,Eucalyptus
Eucalyptus_behriana,E_behriana,1.22,12,NA,0.163,Eucalyptus
Eucalyptus_bensonii,E_bensonii,1.16,8,NA,NA,Eucalyptus
Eucalyptus_benthamii,E_benthamii,1.2,40,67.26,1.36,Eucalyptus
Eucalyptus_beyeriana,E_beyeriana,NA,20,85.71,0.94224,Eucalyptus
Eucalyptus_bigalerita,E_bigalerita,1.17,17,42.79,4.92,Eucalyptus
Eucalyptus_biturbinata,E_biturbinata,NA,NA,61,NA,Eucalyptus
Eucalyptus_blakelyi,E_blakelyi,1.21,25,63.62,0.7934,Eucalyptus
Eucalyptus_blaxellii,E_blaxellii,1.29,3,NA,0.5864,Eucalyptus
Eucalyptus_blaxlandii,E_blaxlandii,1.16,35,NA,6.21,Eucalyptus
Eucalyptus_boliviana,E_boliviana,1.146666667,12,NA,1.3668,Eucalyptus
Eucalyptus_bosistoana,E_bosistoana,1.26,60,39.11,1.22,Eucalyptus
Eucalyptus_botryoides,E_botryoides,1.22,40,43.01,1.4,Eucalyptus
Eucalyptus_brachyandra,E_brachyandra,NA,8,NA,0.6,Eucalyptus
Eucalyptus_brachycalyx,E_brachycalyx,1.3,10,30.51,0.3508,Eucalyptus
Eucalyptus_brandiana,E_brandiana,1.19,NA,NA,2.892,Eucalyptus
Eucalyptus_brassiana,E_brassiana,1.24,20,NA,2.21,Eucalyptus
Eucalyptus_brevifolia,E_brevifolia,1.2,10,NA,3.54,Eucalyptus
Eucalyptus_brevipes,E_brevipes,1.23,5,NA,0.252349,Eucalyptus
Eucalyptus_brevistylis,E_brevistylis,1.04,25,76.02,NA,Eucalyptus
Eucalyptus_bridgesiana,E_bridgesiana,1.21,25,51.18,2.81,Eucalyptus
Eucalyptus_brockwayi,E_brockwayi,1.2,15,29.56,2.04,Eucalyptus
Eucalyptus_brookeriana,E_brookeriana,1.19,40,47.415,1.3,Eucalyptus
Eucalyptus_broviniensis,E_broviniensis,1.2,10,NA,NA,Eucalyptus
Eucalyptus_brownii,E_brownii,1.29,18,NA,0.26,Eucalyptus
Eucalyptus_brunnea,E_brunnea,NA,NA,42.93,NA,Eucalyptus
Eucalyptus_bunyip,E_bunyip,1.21,NA,NA,NA,Eucalyptus
Eucalyptus_buprestium,E_buprestium,NA,4,NA,NA,Eucalyptus
Eucalyptus_burdettiana,E_burdettiana,1.15,4,37.86,4.52,Eucalyptus
Eucalyptus_burgessiana,E_burgessiana,NA,7,NA,NA,Eucalyptus
Eucalyptus_burracoppinensis,E_burracoppinensis,1.28,5,NA,7.6,Eucalyptus
Eucalyptus_cadens,E_cadens,1.18,25,54.04,0.3084,Eucalyptus
Eucalyptus_caesia,E_caesia,1.1275,12.5,33.255,4.94,Eucalyptus
Eucalyptus_cajuputea,E_cajuputea,1.27,NA,NA,NA,Eucalyptus
Eucalyptus_calcareana,E_calcareana,1.31,8,25.05,1.4948,Eucalyptus
Eucalyptus_calcicola,E_calcicola,1.065,4,49.43,13.47423333,Eucalyptus
Eucalyptus_caleyi,E_caleyi,1.25,30,41.125,2.1,Eucalyptus
Eucalyptus_caliginosa,E_caliginosa,1.14,35,35.16,10.9,Eucalyptus
Eucalyptus_calycogona,E_calycogona,1.236666667,5.5,44.64,0.80616,Eucalyptus
Eucalyptus_calyerup,E_calyerup,NA,10,NA,0.5412,Eucalyptus
Eucalyptus_camaldulensis,E_camaldulensis,1.202454545,32.85714286,48.90333333,0.67664,Eucalyptus
Eucalyptus_cambageana,E_cambageana,1.33,25,45.93,0.87,Eucalyptus
Eucalyptus_cameronii,E_cameronii,1.11,40,NA,2.29,Eucalyptus
Eucalyptus_camfieldii,E_camfieldii,1.14,10,NA,5.65,Eucalyptus
Eucalyptus_campanulata,E_campanulata,1.13,NA,NA,0.5988,Eucalyptus
Eucalyptus_campaspe,E_campaspe,1.34,10,30.37,2.47,Eucalyptus
Eucalyptus_camphora,E_camphora,1.205,17.5,49.455,0.74104,Eucalyptus
Eucalyptus_canaliculata,E_canaliculata,1.25,30,51.32,13.81,Eucalyptus
Eucalyptus_canescens,E_canescens,1.37,3,25.405,NA,Eucalyptus
Eucalyptus_canobolensis,E_canobolensis,1.19,12,NA,0.8256,Eucalyptus
Eucalyptus_capillosa,E_capillosa,1.31,12,20.9,0.3456,Eucalyptus
Eucalyptus_capitanea,E_capitanea,1.26,NA,NA,NA,Eucalyptus
Eucalyptus_capitellata,E_capitellata,1.13,25,41.93,13,Eucalyptus
Eucalyptus_captiosa,E_captiosa,1.23,NA,NA,1.7016,Eucalyptus
Eucalyptus_carnea,E_carnea,1.07,25,39.15,0.468,Eucalyptus
Eucalyptus_carnei,E_carnei,1.25,6,33.14,5.94,Eucalyptus
Eucalyptus_castrensis,E_castrensis,1.27,NA,NA,0.4504,Eucalyptus
Eucalyptus_celastroides,E_celastroides,1.295,9,30.87,1.4126,Eucalyptus
