species_height,accepted_name,max_height,unit,mallee,coevol
Eucalyptus deflexa,Eucalyptus_deflexa,3,m,Y,E_deflexa
Eucalyptus delegatensis subsp. delegatensis,Eucalyptus_delegatensis,50,m,N,E_delegatensis
Eucalyptus delicata,Eucalyptus_delicata,15,m,S,E_delicata
Eucalyptus dendromorpha,Eucalyptus_dendromorpha,30,m,N,E_dendromorpha
Eucalyptus densa subsp. densa,Eucalyptus_densa,10,m,S,E_densa
Eucalyptus denticulata,Eucalyptus_denticulata,35,m,N,E_denticulata
Eucalyptus depauperata,Eucalyptus_depauperata,4,m,Y,E_depauperata
Eucalyptus desmondensis,Eucalyptus_desmondensis,6,m,Y,E_desmondensis
Eucalyptus deuaensis,Eucalyptus_deuaensis,4,m,Y,E_deuaensis
Eucalyptus dielsii,Eucalyptus_dielsii,8,m,N,E_dielsii
Eucalyptus diminuta,Eucalyptus_diminuta,4,m,Y,E_diminuta
Eucalyptus diptera,Eucalyptus_diptera,10,m,N,E_diptera
Eucalyptus discreta,Eucalyptus_discreta,5,m,Y,E_discreta
Eucalyptus dissimulata,Eucalyptus_dissimulata,3,m,Y,E_dissimulata
Eucalyptus distans,Eucalyptus_distans,7,m,N,E_distans
Eucalyptus diversicolor,Eucalyptus_diversicolor,80,m,,E_diversicolor
Eucalyptus diversifolia subsp. diversifolia,Eucalyptus_diversifolia,5,m,Y,E_diversifolia
Eucalyptus dives,Eucalyptus_dives,20,m,N,E_dives
Eucalyptus dolichocera,Eucalyptus_dolichocera,6,m,S,E_dolichocera
Eucalyptus dolichorhyncha,Eucalyptus_dolichorhyncha,6,m,N,E_dolichorhyncha
Eucalyptus dolorosa,Eucalyptus_dolorosa,1.5,m,Y,E_dolorosa
Eucalyptus doratoxylon,Eucalyptus_doratoxylon,5,m,S,E_doratoxylon
Eucalyptus dorrigoensis,Eucalyptus_dorrigoensis,30,m,N,E_dorrigoensis
Eucalyptus drummondii,Eucalyptus_drummondii,4,m,Y,E_drummondii
