Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
55,Eucalyptus exigua,Eucalyptus exigua,0.2279,0.1896,0.1819,723,506,455,31.73,26.66,25.01,27.8,12.6,0.2,561,
56,Eucalyptus gittinsii subsp. gittinsii,Eucalyptus gittinsii dubsp gittinsii,0.5245,0.4338,0.422,1710,1403,1357,32.6,32.35,32.15,32.37,0.7,0.46,1490,
57,Eucalyptus subtilis,Eucalyptus subtilis,0.168,0.0842,0.1348,370,,290,22.02,,21.49,21.76,1.74,0.129,330,
58,Eucalyptus grasbyi,Eucalyptus grasbyi,0.4362,0.2481,0.2177,997,817,587,22.85,32.93,26.96,27.58,18.39,0.301,800,
59,Eucalyptus argyphea,Eucalyptus argyphea,0.3258,0.2933,0.1854,1023,787,776,31.39,26.84,41.83,33.35,23.05,0.268,862,
60,Eucalyptus macrocarpa subsp. macrocarpa,Eucalyptus macrocarpa subsp. macrocarpa,0.5753,0.5942,0.7488,1898,2022,2052,33,34.02,27.41,31.48,11.31,0.639,1991,
61,Eucalyptus rugosa,Eucalyptus rugosa (EP),0.2471,0.3227,0.2759,942,1337,881,38.11,41.43,31.92,37.15,12.98,0.282,1053,
62,Eucalyptus utilis,Eucalyptus utilis,0.7727,0.4341,0.2514,2115,1253,1031,27.38,28.85,41.02,32.42,23.09,0.486,1466,
63,Eucalyptus petraea,Eucalyptus petraea,0.4016,0.4842,0.4442,1065,1275,1342,26.52,26.33,30.22,27.69,7.92,0.443,1227,
64,Eucalyptus suggrandis subsp. promiscua,Eucalyptus suggrandis subsp. promiscua,0.0821,0.0821,0.0683,215,209,188,26.19,25.46,27.53,26.39,3.98,0.078,204,
65,Eucalyptus cornuta,Eucalyptus cornuta,0.2306,0.3125,0.3896,964,1503,1297,41.81,48.11,33.3,41.07,18.09,0.311,1255,
66,Eucalyptus clivicola,Eucalyptus clivicola,0.2381,0.2457,0.5944,659,661,1370,27.67,26.9,23.05,25.87,9.58,0.359,897,
67,Eucalyptus conferruminata subsp. conferruminata,Eucalyptus conferruminata subsp. conferruminata,0.5448,0.4874,0.5739,1506,1451,1738,27.63,29.78,30.29,29.23,4.81,0.535,1565,
68,Eucalyptus astringens subsp. astringens,Eucalyptus astringens subsp. astringens,0.5079,0.4575,0.5941,1758,1723,2082,34.62,37.66,35.04,35.77,4.6,0.52,1854,
69,NA,E x stoaptera,1.3282,1.4412,,2121,2132,,15.97,14.79,,15.38,5.41,1.385,2127,
70,Eucalyptus obesa,Eucalyptus obesa,0.454,0.4594,0.1688,1066,1134,674,23.48,24.69,39.95,29.37,31.26,0.361,958,
71,NA,Eucalyptus falcata subsp. falcata,0.399,0.2578,0.3186,1020,656,871,25.56,25.46,27.34,26.12,4.05,0.325,849,
72,Eucalyptus decipiens subsp. decipiens,Eucalyptus decipiens subsp. decipiens,0.1182,0.1364,0.0926,417,494,315,35.28,36.25,34.06,35.2,3.12,0.116,409,
73,Eucalyptus leptocalyx subsp. leptocalyx,Eucalyptus leptocalyx subsp. leptocalys,2.0666,1.0932,,3351,1989,,16.21,18.19,,17.2,8.14,1.58,2670,
74,Eucalyptus dielsii,Eucalyptus dielsii,0.3458,0.3717,0.3865,1053,961,1006,30.44,25.85,26.02,27.44,9.49,0.368,1006,
75,Eucalyptus sargentii,Eucalyptus sargentii subsp. onesia,0.0938,0.0559,0.0763,340,219,306,36.21,39.23,40.1,38.52,5.3,0.075,288,
76,Eucalyptus rigens,E.rigens,0.8756,0.8857,0.5606,1856,1787,1051,21.2,20.17,18.74,20.04,6.15,0.774,1565,
79,Eucalyptus subangusta subsp. pusilla,Eucalyptus subangusta subsp. pusilla,0.1856,0.3084,0.3513,604,806,932,32.55,26.14,26.54,28.41,12.64,0.282,781,
80,NA,E x bennettiae,0.1972,0.4311,0.262,700,1222,773,35.49,28.36,29.51,31.12,12.31,0.297,899,
81,Eucalyptus indurata,Eucalyptus indurata,0.3841,0.2846,0.2436,1033,749,619,26.89,26.34,25.42,26.22,2.84,0.304,801,
82,Eucalyptus suggrandis subsp. suggrandis,Eucalyptus suggrandis subsp. suggrandis,0.2822,0.4547,0.3706,641,987, ,22.7,21.71,#VALUE!,#VALUE!,#VALUE!,0.369,814,
83,Eucalyptus purpurata,Eucalyptus purpurata,0.1798,0.202,0.1663,661,817,632,36.74,40.47,38.02,38.41,4.93,0.183,703,
84,Eucalyptus megacornuta,Eucalyptus megacornuta,0.2937,0.2708,0.4889,954,942,1534,32.47,34.8,31.38,32.88,5.32,0.351,1143,
85,Eucalyptus kondininensis,Eucalyptus kondininensis (tuberosa),0.5555,0.5057,0.9866,1063,1022,1903,19.13,20.21,19.29,19.55,2.98,0.683,1329,
86,Eucalyptus thamnoides,Eucalyptus thamnoides,0.205,0.1763,0.1751,681,604,547,33.24,34.26,31.24,32.91,4.67,0.185,611,
87,Eucalyptus thamnoides,,0.9089,0.6735,0.9021,2650,2104,2596,29.16,31.25,28.78,29.73,4.47,0.828,2450,
88,Eucalyptus orthostemon,Eucalyptus orthostemon,0.0453,0.0409,0.0223,133,127,73,29.45,31.02,32.87,31.12,5.5,0.036,111,
89,Eucalyptus dissimulata,Eucalyptus dissimulata,0.144,0.2112,0.1794,316,569,516,21.95,26.92,28.79,25.89,13.65,0.178,467,
90,Eucalyptus rigidula,Eucalyptus rigidula,0.129,0.3034,0.173,335,845,470,25.97,27.84,27.16,26.99,3.49,0.202,550,
91,Eucalyptus uncinata,Eucalyptus uncinata subsp.. uncinata,0.0778,0.105,0.1111,280,326,368,35.99,31.07,33.12,33.39,7.41,0.098,325,
92,Eucalyptus uncinata,,0.3791,0.4199,0.4683,894,954,1076,23.57,22.71,22.98,23.09,1.9,0.422,974,
93,Eucalyptus uncinata,,0.8095,0.5382,0.7229,2339,1406,2016,28.89,26.12,27.88,27.63,5.09,0.69,1920,
94,Eucalyptus uncinata,,0.2431,0.2437,0.2177,659,702,553,27.09,28.83,25.41,27.11,6.29,0.235,638,
95,Eucalyptus uncinata,,0.1406,0.1494,0.1598,376,393,405,26.72,26.32,25.33,26.12,2.74,0.15,391,
96,Eucalyptus uncinata,,0.3817,0.3695,0.2898,1381,1306,1090,36.18,35.33,37.63,36.38,3.18,0.347,1259,
97,Eucalyptus uncinata,,0.0962,0.1076,0.0893,345,460,383,35.85,42.74,42.86,40.48,9.91,0.098,396,
98,Eucalyptus uncinata,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
99,Eucalyptus uncinata,,0.4402,0.5094,0.4991,1267,1357,1289,28.78,26.63,25.83,27.08,5.63,0.483,1304,
100,Eucalyptus uncinata,,0.4335,0.4,0.3751,1153,1255,1314,26.6,31.38,35.04,31,13.66,0.403,1241,
101,Eucalyptus uncinata,,0.3346,0.3079,0.388,810,699,786,24.22,22.71,20.27,22.4,8.91,0.344,765,
102,Eucalyptus uncinata,,1.0771,0.6512,0.7052,3652,2109,2488,33.9,32.39,35.28,33.86,4.26,0.811,2750,
103,Eucalyptus uncinata,,0.5645,0.5599,0.7779,1267,1381,1437,22.44,24.66,18.47,21.86,14.34,0.634,1362,
104,Eucalyptus cinerea,Eucalyptus cinera x2,0.5802,0.6739,0.3997,1372,1589,838,23.65,23.58,20.97,22.74,6.72,0.551,1267,
105,Eucalyptus cinerea,,0.1148,0.1038,0.1006,322,300,269,28.06,28.93,26.76,27.92,3.92,0.106,297,
106,Eucalyptus cinerea,,0.4571,0.4343,0.4174,1373,1220,1307,30.04,28.09,31.3,29.81,5.43,0.436,1300,
107,Eucalyptus cinerea,,0.6324,0.6664,0.6134,2922,3170,2694,46.21,47.56,43.92,45.9,4.01,0.637,2929,
108,Eucalyptus cinerea,,0.535,0.3721,0.3171,1853,1274,849,34.63,34.23,26.76,31.87,13.91,0.408,1325,
109,Eucalyptus cinerea,,0.2812,0.3594,0.6203,681,1064,1430,24.22,29.6,23.05,25.62,13.64,0.42,1058,
110,Eucalyptus kitsoniana,Eucalyptus kitsoniana,0.1931,0.2834,0.3428,989,1430,1760,51.22,50.47,51.34,51.01,0.92,0.273,1393,
111,Eucalyptus diversicolor,Eucalyptus diversicolor Tall,0.6295,0.5036,0.4931,3711,3160,3268,58.95,62.75,66.28,62.66,5.85,0.542,3380,
112,Eucalyptus brookeriana,Eucalyptus brookerianan VIC,0.4852,0.5432,0.7282,2494,1925,3009,51.41,35.44,41.32,42.72,18.9,0.586,2476,
113,Eucalyptus conspicua,Eucalyptus conspicua VIC,0.3075,0.3405,0.37,1668,2160,2319,54.23,63.45,62.69,60.12,8.51,0.339,2049,
114,Eucalyptus conferruminata subsp. Recherche,Eucalyptus conferruminata subsp. Recherche,0.245,0.3165,0.1799,1153,1344,719,47.06,42.46,39.97,43.17,8.33,0.247,1072,
115,Eucalyptus aromaphloia,Eucalyptus aromaphloia Lorne,0.2762,0.2543,0.2272,1435,1375,984,51.97,54.05,43.31,49.78,11.45,0.253,1265,
116,NA,Eucalyptus natons,0.3072,0.9832,0.9787,1192,3571,3609,38.8,36.32,36.88,37.33,3.5,0.756,2791,
117,Eucalyptus calycogona subsp. miraculum,Eucalyptus calycogona subsp. miracula,0.3638,0.2728,0.3045,1282,1263,1055,35.25,46.29,34.65,38.73,16.93,0.314,1200,
118,Eucalyptus oleosa subsp. Oleosa,Eucalyptus oleosa subsp.. Oleosa,0.2799,0.1643,0.2319,634,463,735,22.64,28.17,31.7,27.5,16.61,0.225,611,
119,Eucalyptus incrassata,Eucalyptus incrassata,0.3526,0.2478,0.5379,848,635,1264,24.04,25.64,23.5,24.39,4.56,0.379,916,
