Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
352,NA,Eucalyptus drummondii subsp. drummondii,0.184,0.183,0.1481,766,670,564,41.61,36.59,38.08,38.76,6.66,0.172,666,
353,Eucalyptus hypochlamydea,Eucalyptus hypochlamydea,0.0561,0.046,0.1153,187,166,410,33.4,36.17,35.54,35.03,4.14,0.072,254,
354,Eucalyptus absita,Eucalyptus absita,0.3637,0.2459,0.287,2081,1135,1380,57.21,46.17,48.09,50.49,11.69,0.299,1532,
355,Eucalyptus ovularis,Eucalyptus ovularis,0.159,0.0821,0.0738,513,263,286,32.27,32,38.7,34.32,11.05,0.105,354,
356,Eucalyptus xerothermica,Eucalyptus xerothermica,0.6168,0.5623,0.2198,2145,2082,703,34.78,37.02,31.97,34.59,7.31,0.466,1643,
357,Eucalyptus gomphocephala,Eucalyptus gomphocaphala,0.3919,0.6301,0.5205,2152,2954,2567,54.92,46.89,49.32,50.37,8.18,0.514,2558,
358,Eucalyptus sporadica,Eucalyptus sporadica,0.3068,0.2569,0.5275,920,791,1331,30,30.8,25.24,28.68,10.49,0.364,1014,
359,Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,0.332,0.3632,0.1985,2281,2095,1256,68.7,57.68,63.29,63.22,8.72,0.298,1877,
360,Eucalyptus remota,Eucalyptus remota,0.2535,0.5744,0.5495,891,2235,2120,35.17,38.91,38.57,37.55,5.51,0.459,1749,
361,Eucalyptus arborella,Eucalyptus arborella,0.0965,0.1465,0.12,422,668,572,43.76,45.6,47.69,45.68,4.3,0.121,554,
362,Eucalyptus calycogona subsp. Calycogona,Eucalyptus calycogona subsp. calycogona WA,0.1859,0.1137,0.142,524,325,425,28.2,28.62,29.95,28.92,3.16,0.147,425,
363,Eucalyptus densa subsp. densa,Eucalyptus densa subsp. densa,0.2152,0.1401,0.2133,738,478,730,34.31,34.1,34.24,34.22,0.31,0.19,649,
364,Eucalyptus deflexa,Eucalyptus deflexa,0.1622,0.1565,0.1766,454,366,417,27.98,23.4,23.62,25,10.34,0.165,412,
365,Eucalyptus mimica subsp. continens,Eucalyptus mimica subsp. continens,0.1135,0.065,0.0666,302,182,190,26.56,27.93,28.58,27.69,3.71,0.082,224,
366,Eucalyptus staeri,Eucalyptus staeri,0.6898,0.6923,0.5946,1896,1764,1681,27.49,25.47,28.27,27.08,5.33,0.659,1780,
367,Eucalyptus megacarpa,Eucalyptus megacarpa,0.8387,0.7284,,4117,3362,,49.08,46.15,,47.62,4.35,0.784,3739,
368,Eucalyptus spathulata subsp. spathulata,Eucalyptus spathulata subsp. spathulata,0.1516,,0.1626,370,,419,24.38,,25.78,25.08,3.96,0.157,394,
369,Eucalyptus pluricaulis subsp. porphyrea,Eucalyptus pluricaulis subsp. porphorea,0.4073,0.3968,0.3828,1446,1375,1358,35.51,34.65,35.49,35.22,1.4,0.396,1393,
370,Eucalyptus camaldulensis subsp._camaldulensis,Eucalyptus camaldulennsis subsp. camaldulensis (KI),0.5394,0.2091,,2640,1080,,48.94,51.66,,50.3,3.82,0.374,1860,
371,Eucalyptus alaticaulis,Eucalyptus alaticaulis,0.2615,0.3342,0.9789,1153,1472,3109,44.11,44.04,31.76,39.97,17.8,0.525,1911,
372,Eucalyptus elaeophloia,Eucalyptus elaeophloia,0.4091,0.5405,0.1406,1284,1605,433,31.39,29.7,30.81,30.63,2.8,0.363,1108,
373,NA,Eucalyptus baeophylla = aff. Prominenes,0.1853,0.1366,0.1335,586,498,436,31.63,36.43,32.62,33.56,7.55,0.152,506,
374,Eucalyptus rhodantha,Eucalyptus rhodantha,0.7329,0.6299,0.6785,2507,2236,2863,34.2,35.5,42.2,37.3,11.5,0.68,2535,
375,Eucalyptus phenax subsp. phenax,Eucalyptus phenax subsp. phenax,1.0545,0.8622,,2195,2041,,20.82,23.67,,22.24,9.08,0.958,2118,
376,NA,Eucalyptus sturgissana,0.5901,0.579,0.5138,2450,2941,2219,41.52,50.79,43.19,45.17,10.95,0.561,2537,
377,Corymbia calophylla,Corymbia calophylla,0.6487,0.5499,,3550,3211,,54.72,58.4,,56.56,4.6,0.599,3381,
378,Eucalyptus denticulata,Eucalyptus denticulata,0.7569,1.1452,0.8617,2654,4429,2936,35.06,38.67,34.07,35.93,6.74,0.921,3339,
379,Eucalyptus ignorabilis,Eucalyptus ignorabilis,0.2782,0.185,0.2779,1537,1000,1544,55.25,54.03,55.57,54.95,1.48,0.247,1360,
380,Corymbia haematoxylon,Corymbia haematoxylon,0.4514,0.5785,0.401,2376,2921,2273,52.63,50.5,56.7,53.28,5.91,0.477,2524,
381,Eucalyptus scoparia,Eucalyptus scoparia,0.1136,0.0809,0.0869,768,550,591,67.6,68.02,68.07,67.9,0.38,0.094,637,
382,Eucalyptus obliqua,Eucalyptus obliqua (SA),0.3601,0.4595,0.59,1784,2127,2936,49.54,46.28,49.76,48.53,4.01,0.47,2282,
383,Eucalyptus angulosa,Eucalyptus angulosa,0.8711,0.8071,0.7357,1987,1907,1659,22.81,23.63,22.54,23,2.47,0.805,1851,
384,Eucalyptus quadrans,Eucalyptus quadrans,0.0669,0.0552,0.0504,152,196,202,22.79,35.5,40.01,32.77,27.24,0.058,183,
385,NA,Eucalyptus _incognita” = aff. Tephroides,0.5682,1.0677,0.4969,1983,3579,1714,34.9,33.52,34.49,34.3,2.06,0.711,2425,
386,Eucalyptus pachyphylla,Eucalyptus pachyphylla,,0.1662,,,382,,#DIV/0!,22.98,#DIV/0!,#DIV/0!,#DIV/0!,0.166,382,
387,Eucalyptus punctata,Eucalyptus punctata,0.4713,0.1537,0.173,1862,639,762,39.5,41.54,44.04,41.69,5.46,0.266,1087,
388,Eucalyptus petiolaris,Eucalyptus petiolaris _Yellow”,0.3069,0.264,0.2494,1199,1011,948,39.07,38.3,38.01,38.46,1.42,0.273,1053,
389,Eucalyptus phenax subsp. compressa,Eucalyptus phenax subsp. sompressa,0.7479,0.6328,0.435,1802,1559,1132,24.1,24.64,26.03,24.92,3.99,0.605,1498,
390,Eucalyptus diversifolia subsp. Diversifolia,Eucalyptus diversifolia subsp. diversifolia KI,0.4733,0.5754,0.475,1376,1571,1487,29.07,27.3,31.31,29.23,6.87,0.508,1478,
391,Eucalyptus viminalis subsp. cygnetensis,Eucalyptus viminalis subsp. cygnetensis,0.148,0.2983,0.3682,1120,1752,1876,75.67,58.74,50.94,61.79,20.46,0.272,1583,
392,NA,Eucalyptus fergusonii subsp. dorsiventralis,0.3466,0.2035,0.4328,1864,899,2178,53.78,44.16,50.32,49.42,9.86,0.328,1647,
393,Eucalyptus brevistylis,Eucalyptus brevistylis,0.1787,0.1696,0.1947,1295,1176,1679,72.49,69.34,86.23,76.02,11.81,0.181,1383,
394,Eucalyptus ovata var. ovata,Eucalyptus ovata var. ovata KI,0.7681,0.8667,0.9351,3144,3118,3612,40.93,35.98,38.62,38.51,6.43,0.857,3291,
422,Eucalyptus preissiana subsp. preissiana,Eucalyptus preissiana subsp. preissiana,2.2606,1.8324,,5080,5068,,22.47,27.66,,25.06,14.64,2.047,5074,
423,Eucalyptus benthamii,Eucalyptus baenthamii,0.344,0.352,0.2913,2096,2404,2113,60.93,68.3,72.55,67.26,8.74,0.329,2205,
424,NA,Eucalyptus _kynoura” = aff. Goniantha,1.8235,0.8917,,3642,2032,,19.97,22.79,,21.38,9.3,1.358,2837,
425,Eucalyptus preissiana subsp. lobata,Eucalyptus preissiana subsp. lobata,0.4743,0.3544,0.3282,1411,1009,926,29.74,28.47,28.21,28.81,2.84,0.386,1115,
426,Eucalyptus pachyloma,Eucalyptus pachyloma,0.2298,0.1565,0.1358,717,608,447,31.2,38.85,32.92,34.32,11.69,0.174,591,
427,Corymbia ficifolia,Corymbia ficifolia,0.1757,0.1719,0.0936,486,460,240,27.66,26.76,25.64,26.69,3.79,0.147,395,
428,Eucalyptus cinerea,Eucalyptus cinerea,0.3451,0.3742,0.415,1845,2194,2275,53.45,58.64,54.82,55.64,4.83,0.378,2105,
429,Corymbia calophylla,Corymbia calophylla,0.4819,0.3644,0.4529,1948,1854,1877,40.42,50.88,41.44,44.25,13.03,0.433,1893,
430,Eucalyptus occidentalis,Eucalyptus occidentalis,0.8225,0.9109,0.835,2468,2518,2371,30,27.64,28.4,28.68,4.21,0.856,2452,
431,Eucalyptus pleurocarpa,Eucalyptus pleurocarpa,1.4838,1.1462,,4056,2918,,27.34,25.46,,26.4,5.03,1.315,3487,
432,Eucalyptus proxima,Eucalyptus proxima,0.4217,0.2625,0.3847,,,,0,0,0,0,#DIV/0!,0.356,#DIV/0!,
433,Eucalyptus suberea,Eucalyptus suberea,0.6608,0.6336,0.677,2613,2460,2363,39.54,38.82,34.9,37.75,6.62,0.657,2478,
434,NA,Eucalyptus lanepoolei,0.1794,0.2002,0.2088,738,788,846,41.14,39.34,40.51,40.33,2.27,0.196,790,
435,Eucalyptus vegrandis subsp. vegrandis,Eucalyptus vegrandis subsp. vegrandis,0.1559,0.1668,0.1882,668,610,804,42.83,36.57,42.71,40.7,8.8,0.17,694,
436,Eucalyptus cernua,Eucalyptus cernua,0.3854,0.3241,0.3846,1118,830,981,29.01,25.62,25.51,26.71,7.44,0.365,976,
437,Eucalyptus cuprea,Eucalyptus cuprea,0.275,0.3517,0.3113,1120,1356,1327,40.73,38.54,42.63,40.63,5.03,0.313,1268,
438,Eucalyptus diminuta,Eucalyptus diminuta,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
439,NA,Eucalyptus bicostata SA,1.0432,0.8958,,3704,3054,,35.5,34.09,,34.8,2.87,0.97,3379,
440,Eucalyptus tenera,Eucalyptus tenera,0.1124,0.1086,0.2946,369,347,635,32.87,31.92,21.57,28.79,21.77,0.172,451,
441,NA,Eucalyptus behriana subsp. _behriana” EP,1.1857,3.3181,,2545,5981,,21.46,18.03,,19.74,12.31,2.252,4263,
442,Eucalyptus platypus subsp. congregata,Eucalyptus platypus subsp. congregata,0.5708,0.4936,0.4891,1179,880,934,20.66,17.83,19.1,19.2,7.37,0.518,998,
443,Eucalyptus uncinata,Eucalyptus uncinata subsp. _uncinata”,0.1066,0.2224,0.1805,330,659,464,31,29.63,25.71,28.78,9.54,0.17,485,
444,Eucalyptus rigidula,Eucalyptus rigidula,0.2931,0.2647,0.2784,836,781,686,28.54,29.52,24.66,27.57,9.32,0.279,768,
445,Eucalyptus dissimulata,Eucalyptus dissimulata,0.1313,0.1635,0.1089,,,,0,0,0,0,#DIV/0!,0.135,#DIV/0!,
446,Eucalyptus orthostemon,Eucalyptus orthostemon,0.21,0.3489,0.2258,508,889,608,24.19,25.49,26.92,25.53,5.36,0.262,668,
447,Eucalyptus vesiculosa,Eucalyptus vesiculosa,0.0579,0.0672,0.0695,190,172,231,32.73,25.65,33.18,30.52,13.84,0.065,198,
448,Eucalyptus thamnoides,Eucalyptus thamnoides,0.2393,0.3376,0.6517,647,891,1644,27.04,26.39,25.22,26.22,3.51,0.41,1061,
449,Eucalyptus thamnoides,,0.4132,0.5344,0.4824,1000,1175,1141,24.2,21.99,23.65,23.28,4.95,0.477,1105,
450,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,0.4098,0.4301,0.5722,991,887,1239,24.19,20.61,21.65,22.15,8.32,0.471,1039,
451,Eucalyptus incrassata,Eucalyptus incrassata Nullarbor,0.1779,0.5038,0.4609,548,1233,1115,30.79,24.48,24.19,26.49,14.08,0.381,965,
452,Eucalyptus gamophylla,Eucalyptus gamophylla,0.791,1.0927,,2385,4180,,30.15,38.25,,34.2,16.76,0.942,3282,
453,Eucalyptus vokesensis,Eucalyptus vokesensis,0.9549,0.6363,,2802,1820,,29.34,28.6,,28.97,1.82,0.796,2311,
454,Corymbia candida,Corymbia candida subsp. dipsodes,0.1376,0.1186,0.3162,591,563,1132,42.95,47.51,35.79,42.08,14.04,0.191,762,
455,Eucalyptus calcareana,Eucalyptus calcareana,0.4286,0.4947,0.7035,1389,980,1613,32.41,19.81,22.92,25.05,26.2,0.542,1327,
456,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,0.2794,0.2199,0.311,843,621,986,30.15,28.25,31.72,30.04,5.78,0.27,817,
457,Eucalyptus concinna,Eucalyptus concinna,0.3065,0.3103,0.226,837,621,708,27.32,20.02,31.32,26.22,21.86,0.281,722,
458,Eucalyptus ravida,Eucalyptus ravida,0.346,0.2889,0.4835,959,983,1333,27.71,34.04,27.57,29.77,12.4,0.373,1092,
459,Eucalyptus gillii,Eucalyptus gillii,0.275,0.7483,0.8182,955,2529,2772,34.71,33.8,33.88,34.13,1.48,0.614,2085,
460,Eucalyptus yalatensis,Eucalyptus yalatensis,0.3077,0.2826,0.3685,902,806,1077,29.3,28.51,29.23,29.02,1.5,0.32,928,
461,Eucalyptus oldfieldii subsp. oldfieldii,Eucalyptus oldfieldii subsp. oldfieldii,0.2707,0.3636,0.4843,706,698,1108,26.07,19.19,22.87,22.71,15.17,0.373,837,
462,Eucalyptus pimpiniana,Eucalyptus pimpiniana,0.5124,0.6184,0.4393,1408,1414,1256,27.47,22.86,28.58,26.3,11.53,0.523,1359,
463,Eucalyptus ewartiana,Eucalyptus ewartiana,0.5463,0.3766,0.5284,1400,845,1093,25.64,22.43,20.69,22.92,10.94,0.484,1113,
464,Eucalyptus kochii subsp. amaryssia,Eucalyptus kochii subsp. amaryssia,0.3631,0.1483,0.1767,1058,481,543,29.14,32.44,30.76,30.78,5.35,0.229,694,
465,Eucalyptus comitae-vallis,Eucalyptus comitae-valllis,0.2169,0.2558,0.2599,815,951,916,37.6,37.19,35.26,36.68,3.4,0.244,894,
466,Eucalyptus balladoniensis subsp. sedens,Eucalyptus balladoniensis subsp. sedens,0.5987,0.387,0.3048,1287,810,630,21.5,20.93,20.68,21.04,2,0.43,909,
467,Eucalyptus leptopoda subsp. subluta,Eucalyptus leptopoda subsp. subluta,0.138,0.1566,0.1226,475,500,409,34.41,31.93,33.32,33.22,3.75,0.139,461,
468,Eucalyptus coolabah,Eucalyptus coolabah (NSW),0.1417,0.257,0.1434,486,736,505,34.26,28.66,35.21,32.71,10.83,0.181,576,
469,Eucalyptus capillosa,Eucalyptus capillosa,0.3642,0.3078,0.501,1099,1123,1411,30.17,36.48,28.17,31.61,13.73,0.391,1211,
470,Eucalyptus beardiana,Eucalyptus beardiana,0.194,0.1872,0.168,671,651,542,34.6,34.76,32.24,33.87,4.17,0.183,621,
471,Eucalyptus populnea,Eucalyptus populnea subsp. bimbil,0.6343,0.7772,,2364,2855,,37.28,36.73,,37,1.03,0.706,2610,
472,Eucalyptus orbifolia,Eucalyptus orbifolia,0.2627,0.362,0.4008,672,1048,1204,25.59,28.94,30.03,28.18,8.21,0.342,974,
473,Eucalyptus moderata,Eucalyptus moderata,0.6681,0.2763,0.6333,1538,977,1610,23.02,35.35,25.43,27.93,23.4,0.526,1375,
474,Eucalyptus brockwayi,Eucalyptus brockwayi,0.2111,0.4647,0.3416,571,1334,1125,27.03,28.71,32.93,29.56,10.27,0.339,1010,
475,Eucalyptus microcarpa,Eucalyptus microcarpa VIC,1.3473,1.5098,,4261,4842,,31.62,32.07,,31.85,0.99,1.429,4551,
476,Eucalyptus rhomboidea,Eucalyptus rhomboidea,0.594,0.5955,0.4802,1487,1572,1371,25.04,26.39,28.55,26.66,6.64,0.557,1477,
477,Eucalyptus calycogona subsp. trachybasis,Eucalyptus calycogona subsp. trachybasis,0.2051,0.1342,0.1861,724,527,525,35.31,39.3,28.23,34.28,16.35,0.175,592,
478,Eucalyptus valens,Eucalyptus valens,1.8769,1.5866,,3438,3066,,18.32,19.33,,18.82,3.78,1.732,3252,
479,Eucalyptus froggattii,Eucalyptus froggattii,0.3471,0.4059,0.3659,794,1122,850,22.86,27.64,23.22,24.58,10.83,0.373,922,
480,Eucalyptus persistens subsp. tardecidens,Eucalyptus persistens subsp. tardecidens,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
481,NA,Eucalyptus biterrainea,0.3891,0.4368,0.3322,2081,2029,1777,53.48,46.45,53.49,51.14,7.94,0.386,1962,
482,Eucalyptus pilularis,Eucalyptus pilularis,0.2765,0.2866,0.1508,1825,1918,1255,65.99,66.91,83.23,72.04,13.46,0.238,1666,
483,Eucalyptus staigeriana,Eucalyptus staigeriana,0.1922,0.2666,0.2892,989,1205,1227,51.48,45.18,42.43,46.36,10,0.249,1140,
484,NA,Eucalyptus _crassifolia”,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
485,Eucalyptus shirleyi,Eucalyptus shirleyi (Northern),,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
486,Eucalyptus decolor,Eucalyptus decolor,0.4262,0.244,0.265,2073,1474,1546,48.63,60.41,58.35,55.8,11.27,0.312,1698,
487,Eucalyptus apodophylla,Eucalyptus apodophylla,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
488,Eucalyptus fibrosa,Eucalyptus fibrosa subsp. :crassipes”,0.2664,0.6,0.5634,869,1916,1750,32.62,31.93,31.07,31.87,2.44,0.477,1512,
489,Corymbia watsoniana subsp. capillata,Corymbia watsoniana subsp. capillata,1.2954,0.8186,,6252,3922,,48.26,47.91,,48.09,0.52,1.057,5087,
490,Corymbia aureola,Corymbia aureola,0.4718,0.504,0.3474,2074,2238,1590,43.95,44.4,45.77,44.71,2.12,0.441,1967,
491,Eucalyptus longicornis,Eucalyptus longicornis (Wagin),0.3569,0.3161,0.3336,1359,1182,1231,38.07,37.4,36.9,37.46,1.56,0.336,1257,
492,Eucalyptus willisii,Eucalyptus willisii subsp. falciformis,0.3307,0.271,0.2889,1377,1109,1098,41.64,40.94,38.01,40.2,4.79,0.297,1195,
493,Corymbia peltata,Corymbia  peltata,0.6225,0.2443,0.4947,3197,1503,2426,51.35,61.54,49.03,53.98,12.33,0.454,2375,
494,Eucalyptus distans,Eucalyptus distans (QLD) epruinata,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
495,Corymbia dimorpha,Corymbia dimorpha,0.5383,0.2985,0.1333,2463,1263,579,45.76,42.3,43.46,43.84,4.01,0.323,1435,
496,Eucalyptus howittiana,Eucalyptus howittiana,0.6263,0.4617,0.6187,2114,1619,1980,33.76,35.06,32,33.61,4.57,0.569,1904,
497,Eucalyptus rubida subsp. canobolensis,Eucalyptus rubida subsp. canobolensis,0.8638,0.5644,,3882,2945,,44.94,52.17,,48.56,10.53,0.714,3413,
498,NA,Eucalyptus goniantha subsp. notactiles,0.6052,0.5204,0.5048,1935,1829,1682,31.97,35.14,33.31,33.48,4.75,0.543,1815,
499,Eucalyptus quadricostata,Eucalyptus quadricostata,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
500,Eucalyptus leucophloia subsp. euroa,Eucalyptus leucophloia subsp. euroa,0.4658,0.3255,0.4167,1566,1145,1387,33.62,35.18,33.29,34.03,2.97,0.403,1366,
501,Eucalyptus newbeyi,Eucalyptus newbeyi,0.1311,0.1435,0.1381,1006,984,1019,76.74,68.57,73.79,73.03,5.66,0.138,1003,
502,Eucalyptus communalis,Eucalyptus communalis,0.1281,0.4862,0.2883,473,1629,841,36.92,33.5,29.17,33.2,11.7,0.301,981,
503,Eucalyptus gregoriensis,Eucalyptus gregoriensis,1.2925,2.1892,,3821,6538,,29.57,29.86,,29.71,0.71,1.741,5180,
504,NA,Eucalyptus drummondii subsp. _pendiflora”,0.1379,0.0947,0.1289,623,427,633,45.18,45.09,49.11,46.46,4.94,0.121,561,
505,Angophora floribunda,Angophora floribunda,0.3945,0.3208,0.1869,2639,2068,1378,66.9,64.46,73.71,68.36,7.01,0.301,2028,
506,Eucalyptus camaldulensis subsp. obtusa,Eucalyptus camaldulensis subsp. obtusa,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
507,Eucalyptus redunca,Eucalyptus redunca,0.2759,0.4226,0.3032,906,1290,1056,32.84,30.53,34.83,32.73,6.58,0.334,1084,
508,Eucalyptus pleurocorys,Eucalyptus pleurocorys,0.4151,0.3656,0.3679,1194,1122,1092,28.77,30.69,29.67,29.71,3.23,0.383,1136,
509,Angophora melanoxylon,Angophora melanoxylon,0.0313,0.0202,0.02,208,145,138,66.45,71.78,69,69.08,3.86,0.024,164,
510,Eucalyptus burdettiana,Eucalyptus burdettiana,0.2391,0.3016,0.199,918,1105,767,38.39,36.64,38.54,37.86,2.8,0.247,930,
511,Eucalyptus astringens subsp. redacta,Eucalyptus astrignens subsp. redacta,0.3142,0.2579,0.5925,923,836,1889,29.38,32.42,31.88,31.22,5.2,0.388,1216,
512,Corymbia dolichocarpa,Corymbia dolichocarpa,0.0745,0.1394,0.0741,242,496,263,32.43,35.57,35.45,34.48,5.15,0.096,333,
513,Eucalyptus whitei,Eucalyptus whitei,0.531,0.5213,0.616,1712,1513,1745,32.24,29.02,28.33,29.86,6.99,0.556,1657,
514,Eucalyptus delicata,Eucalyptus delicata,0.1409,0.2096,0.2949,503,693,1059,35.7,33.06,35.91,34.89,4.55,0.215,752,
515,Eucalyptus desmondensis,Eucalyptus desmondensis,0.6667,0.3918,0.7471,1657,931,2001,24.85,23.76,26.79,25.14,6.1,0.602,1530,
516,Eucalyptus camaldulensis subsp. acuta,Eucalyptus camaldulensis subsp. acuta,0.7173,0.2996,,3816,1435,,53.2,47.9,,50.55,7.42,0.508,2626,
517,Eucalyptus cladocalyx,Eucalyptus cladocalyx (FR),0.7733,0.6303,0.4095,2695,2312,1401,34.85,36.68,34.21,35.25,3.64,0.604,2136,
518,Eucalyptus arachnaea ,Eucalyptus arachnaea (arrecta),0.4388,0.3524,0.3882,1762,1094,1074,40.16,31.05,27.68,32.96,19.59,0.393,1310,
519,Eucalyptus ceratocorys,Eucalyptus ceratocorys,0.6654,0.9779,0.679,1419,1927,1395,21.32,19.71,20.54,20.52,3.94,0.774,1580,
520,Eucalyptus pruinosa subsp. Pruinosa,Eucalyptus pruinosa subsp. pruinosa NT,2.7816,2.7063,,8786,8303,,31.59,30.68,,31.13,2.06,2.744,8545,
521,Eucalyptus obtusiflora,Eucalyptus obtusidlora subso cowcowensis,0.7684,0.3351,0.3515,2078,949,838,27.04,28.32,23.85,26.4,8.72,0.485,1288,
522,Eucalyptus campaspe,Eucalyptus campaspe,0.585,0.5286,0.8822,1908,1547,2578,32.62,29.27,29.23,30.37,6.4,0.665,2011,
523,Eucalyptus platydisca,Eucalyptus platydisca,0.4216,0.3307,0.3573,989,849,875,23.46,25.67,24.49,24.54,4.52,0.37,904,
524,Eucalyptus sargentii subsp. sargentii,Eucalyptus sargentii subsp. sargentii,0.1193,0.1215,0.1108,298,318,339,24.98,26.17,30.6,27.25,10.86,0.117,318,
525,Eucalyptus hypolaena,Eucalyptus hypolaena,0.4659,0.4047,0.3464,1385,1023,991,29.73,25.28,28.61,27.87,8.3,0.406,1133,
526,Eucalyptus lucens,Eucalyptus lucens,0.2453,0.2982,0.1745,950,1107,800,38.73,37.13,45.84,40.57,11.43,0.239,952,
527,Eucalyptus intertexta,Eucalyptus intertexta (NT),0.1219,0.3868,0.3623,514,1569,1474,42.17,40.56,40.68,41.14,2.17,0.29,1186,
528,Eucalyptus dundasii,Eucalyptus dundasii :Callion:,0.1685,0.1525,0.1738,685,455,676,40.65,29.84,38.9,36.46,15.92,0.165,605,
529,Eucalyptus socialis subsp. Eucentrica,Eucalyptus socialis subsp. eucentrica (Type),0.6086,0.4826,0.6888,1632,1390,1882,26.82,28.8,27.32,27.65,3.73,0.593,1635,
530,Eucalyptus semota,Eucalyptus semota,0.1643,0.1425,0.1799,502,423,502,30.55,29.68,27.9,29.38,4.6,0.162,476,
531,Eucalyptus lehmannii subsp. lehmannii,Eucalyptus lehmannii subsp. lehmannii,0.1281,0.2183,0.1791,427,591,573,33.33,27.07,31.99,30.8,10.7,0.175,530,
532,Eucalyptus astringens subsp. redacta,Eucalyptus astringens subsp. redacta,0.1949,0.2703,0.3049,798,1107,1169,40.94,40.96,38.35,40.08,3.75,0.257,1025,
533,Eucalyptus varia subsp. salsuginosa,Eucalyptus varia subsp. salsuginosa,0.1261,0.119,0.1029,488,484,423,38.7,40.67,41.11,40.16,3.2,0.116,465,
534,Eucalyptus mimica subsp. mimica,Eucalyptus mimica subsp. mimica,0.0569,0.09,0.0961,224,298,308,39.37,33.11,32.05,34.84,11.35,0.081,277,
535,Eucalyptus diptera,Eucalyptus diptera,0.1521,0.4506,0.2168,431,1366,693,28.34,30.32,31.96,30.21,6.01,0.273,830,
536,Eucalyptus goniocarpa,Eucalyptus goniocarpa,0.0752,0.1609,0.1053,289,482,364,38.43,29.96,34.57,34.32,12.36,0.114,378,
537,Eucalyptus canescens,Eucalyptus canscens subsp. beadellii,0.704,0.6403,0.5549,1695,1577,1351,24.07,24.62,24.34,24.34,1.13,0.633,1541,
538,Eucalyptus glomerosa,Eucalyptus glomerosa,0.1208,0.1745,0.093,482,635,304,39.9,36.39,32.69,36.33,9.93,0.129,474,
539,NA,Eucalyptus effusa subsp. exsul,0.4669,0.4638,0.4506,1432,1407,1387,30.66,30.33,30.78,30.59,0.76,0.46,1408,
540,NA,Eucalyptus sublucisa,0.1911,0.24,0.1056,546,577,354,28.57,24.04,33.52,28.71,16.52,0.179,492,
541,Eucalyptus coolabah,Eucalyptus coolabah subsp. arida (NT),0.3953,0.4902,0.583,1458,1787,2233,36.88,36.46,38.3,37.21,2.59,0.49,1826,
542,Eucalyptus eremicola subsp. eremicola,Eucalyptus eremicola subsp. eremicola,0.0411,0.2643,0.2182,143,834,716,34.79,31.56,32.81,33.05,4.94,0.175,564,
543,Eucalyptus gypsophila,Eucalyptus gypsophila (WA),0.9513,0.917,1.006,2768,2753,2991,29.1,30.02,29.73,29.62,1.6,0.958,2837,
544,Eucalyptus melanophloia,Eucalyptus melanophloia subsp. _permulticaulis”,0.1803,0.203,0.134,892,968,672,49.46,47.67,50.14,49.09,2.6,0.172,844,
545,Eucalyptus chlorophylla,Eucalyptus chlorophylla subsp. _chlorophylla”,0.2416,0.4183,0.5928,787,1669,2139,32.59,39.9,36.09,36.19,10.09,0.418,1532,
546,Eucalyptus leucophylla,Eucalyptus leucophylla,0.173,0.1321,0.1319,587,487,435,33.93,36.87,32.98,34.59,5.86,0.146,503,
547,NA,Eucalyptus _adelaidensis” = aff. Odorata,0.6279,0.2809,,2530,1062,,40.29,37.81,,39.05,4.5,0.454,1796,
548,Eucalyptus ammophila,Eucalyptus ammophila,0.3623,0.3502,0.3717,1596,1677,1594,44.05,47.89,42.88,44.94,5.82,0.361,1622,
549,Eucalyptus sessilis,Eucalyptus sessilis,0.8235,0.6464,0.7421,2473,1850,2016,30.03,28.61,27.17,28.61,5,0.737,2113,
550,Eucalyptus wimmerensis,Eucalyptus wimmerensis,0.1029,0.0236,,328,89,,31.88,37.71,,34.79,11.86,0.063,209,
551,Eucalyptus striaticalyx,Eucalyptus striaticalyx,0.7611,0.7353,0.3678,2552,2401,1180,33.53,32.65,32.08,32.76,2.23,0.621,2044,
