species_height,accepted_name,coevol,mallee
Eucalyptus baxteri,Eucalyptus_baxteri,E_baxteri,S
Eucalyptus beaniana,Eucalyptus_beaniana,E_beaniana,N
Eucalyptus beardiana,Eucalyptus_beardiana,E_beardiana,Y
Eucalyptus behriana,Eucalyptus_behriana,E_behriana,
Eucalyptus bensonii,Eucalyptus_bensonii,E_bensonii,S
Eucalyptus benthamii,Eucalyptus_benthamii,E_benthamii,N
Eucalyptus beyeriana,Eucalyptus_beyeriana,E_beyeriana,
Eucalyptus bigalerita,Eucalyptus_bigalerita,E_bigalerita,N
Eucalyptus blakelyi,Eucalyptus_blakelyi,E_blakelyi,N
Eucalyptus blaxellii,Eucalyptus_blaxellii,E_blaxellii,Y
Eucalyptus blaxlandii,Eucalyptus_blaxlandii,E_blaxlandii,N
Eucalyptus boliviana,Eucalyptus_boliviana,E_boliviana,S
Eucalyptus bosistoana,Eucalyptus_bosistoana,E_bosistoana,N
Eucalyptus botryoides,Eucalyptus_botryoides,E_botryoides,N
Eucalyptus brachyandra,Eucalyptus_brachyandra,E_brachyandra,S
Eucalyptus brachycalyx,Eucalyptus_brachycalyx,E_brachycalyx,S
Eucalyptus brachycorys,NA,NA,Y
Eucalyptus brachyphylla,NA,NA,S
Eucalyptus brassiana,Eucalyptus_brassiana,E_brassiana,N
Eucalyptus brevifolia,Eucalyptus_brevifolia,E_brevifolia,S
Eucalyptus brevipes,Eucalyptus_brevipes,E_brevipes,Y
Eucalyptus brevistylis,Eucalyptus_brevistylis,E_brevistylis,N
Eucalyptus bridgesiana,Eucalyptus_bridgesiana,E_bridgesiana,N
Eucalyptus brockwayi,Eucalyptus_brockwayi,E_brockwayi,N
Eucalyptus brookeriana,Eucalyptus_brookeriana,E_brookeriana,N
Eucalyptus broviniensis,Eucalyptus_broviniensis,E_broviniensis,N
Eucalyptus brownii,Eucalyptus_brownii,E_brownii,N
Eucalyptus buprestium,Eucalyptus_buprestium,E_buprestium,Y
Eucalyptus burdettiana,Eucalyptus_burdettiana,E_burdettiana,Y
Eucalyptus burgessiana,Eucalyptus_burgessiana,E_burgessiana,S
Eucalyptus burracoppinensis,Eucalyptus_burracoppinensis,E_burracoppinensis,Y
Eucalyptus cadens,Eucalyptus_cadens,E_cadens,N
Eucalyptus caesia subsp. magna,Eucalyptus_caesia,E_caesia,Y
Eucalyptus calcareana,Eucalyptus_calcareana,E_calcareana,S
Eucalyptus calcicola subsp. calcicola,Eucalyptus_calcicola,E_calcicola,Y
Eucalyptus caleyi subsp. caleyi,Eucalyptus_caleyi,E_caleyi,N
Eucalyptus caliginosa,Eucalyptus_caliginosa,E_caliginosa,N
Eucalyptus calycogona subsp. calycogona,Eucalyptus_calycogona,E_calycogona,S
Eucalyptus calyerup,Eucalyptus_calyerup,E_calyerup,N
Eucalyptus camaldulensis subsp. acuta,Eucalyptus_camaldulensis,E_camaldulensis,N
Eucalyptus cambageana,Eucalyptus_cambageana,E_cambageana,N
Eucalyptus cameronii,Eucalyptus_cameronii,E_cameronii,N
Eucalyptus camfieldii,Eucalyptus_camfieldii,E_camfieldii,S
Eucalyptus campaspe,Eucalyptus_campaspe,E_campaspe,N
Eucalyptus camphora subsp. camphora,Eucalyptus_camphora,E_camphora,S
Eucalyptus canaliculata,Eucalyptus_canaliculata,E_canaliculata,N
Eucalyptus canescens subsp. beadellii,Eucalyptus_canescens,E_canescens,Y
Eucalyptus canobolensis,Eucalyptus_canobolensis,E_canobolensis,N
Eucalyptus capillosa subsp. capillosa,Eucalyptus_capillosa,E_capillosa,S
Eucalyptus capitellata,Eucalyptus_capitellata,E_capitellata,N
Eucalyptus carnabyi,NA,NA,Y
Eucalyptus carnea,Eucalyptus_carnea,E_carnea,N
Eucalyptus carnei,Eucalyptus_carnei,E_carnei,S
Eucalyptus celastroides subsp. celastroides,Eucalyptus_celastroides,E_celastroides,S
Eucalyptus cephalocarpa,Eucalyptus_cephalocarpa,E_cephalocarpa,N
Eucalyptus ceracea,Eucalyptus_ceracea,E_ceracea,N
Eucalyptus cerasiformis,Eucalyptus_cerasiformis,E_cerasiformis,Y
Eucalyptus ceratocorys,Eucalyptus_ceratocorys,E_ceratocorys,S
Eucalyptus cernua,Eucalyptus_cernua,E_cernua,Y
Eucalyptus chapmaniana,Eucalyptus_chapmaniana,E_chapmaniana,N
Eucalyptus chartaboma,Eucalyptus_chartaboma,E_chartaboma,N
Eucalyptus chloroclada,Eucalyptus_chloroclada,E_chloroclada,N
Eucalyptus chlorophylla,Eucalyptus_chlorophylla,E_chlorophylla,S
Eucalyptus cinerea subsp. cinerea,Eucalyptus_cinerea,E_cinerea,N
Eucalyptus cladocalyx,Eucalyptus_cladocalyx,E_cladocalyx,
Eucalyptus clelandii,NA,NA,N
Eucalyptus clivicola,Eucalyptus_clivicola,E_clivicola,N
Eucalyptus cloeziana,Eucalyptus_cloeziana,E_cloeziana,N
Eucalyptus cneorifolia,Eucalyptus_cneorifolia,E_cneorifolia,S
Eucalyptus coccifera,Eucalyptus_coccifera,E_coccifera,S
Eucalyptus communalis,Eucalyptus_communalis,E_communalis,Y
Eucalyptus concinna,Eucalyptus_concinna,E_concinna,
Eucalyptus conferruminata,Eucalyptus_conferruminata,E_conferruminata,S
Eucalyptus confluens,Eucalyptus_confluens,E_confluens,N
Eucalyptus conglobata subsp. conglobata,Eucalyptus_conglobata,E_conglobata,S
Eucalyptus conglomerata,Eucalyptus_conglomerata,E_conglomerata,S
Eucalyptus conica,Eucalyptus_conica,E_conica,N
Eucalyptus consideniana,Eucalyptus_consideniana,E_consideniana,S
Eucalyptus conspicua,Eucalyptus_conspicua,E_conspicua,N
Eucalyptus conveniens,Eucalyptus_conveniens,E_conveniens,Y
Eucalyptus coolabah,Eucalyptus_coolabah,E_coolabah,N
Eucalyptus cooperiana,Eucalyptus_cooperiana,E_cooperiana,Y
Eucalyptus cordata,Eucalyptus_cordata,E_cordata,Y
Eucalyptus cornuta,Eucalyptus_cornuta,E_cornuta,S
Eucalyptus coronata,Eucalyptus_coronata,E_coronata,Y
Eucalyptus corrugata,Eucalyptus_corrugata,E_corrugata,S
Eucalyptus corticosa,Eucalyptus_corticosa,E_corticosa,N
Eucalyptus corynodes,Eucalyptus_corynodes,E_corynodes,N
Eucalyptus cosmophylla,Eucalyptus_cosmophylla,E_cosmophylla,S
Eucalyptus crebra,Eucalyptus_crebra,E_crebra,N
Eucalyptus crenulata,Eucalyptus_crenulata,E_crenulata,N
Eucalyptus creta,Eucalyptus_creta,E_creta,N
Eucalyptus cretata,Eucalyptus_cretata,E_cretata,Y
Eucalyptus crispata,Eucalyptus_crispata,E_crispata,Y
Eucalyptus croajingolensis,Eucalyptus_croajingolensis,E_croajingolensis,N
Eucalyptus crucis subsp. crucis,Eucalyptus_crucis,E_crucis,Y
Eucalyptus cullenii,Eucalyptus_cullenii,E_cullenii,N
Eucalyptus cunninghamii,Eucalyptus_cunninghamii,E_cunninghamii,Y
Eucalyptus cuprea,Eucalyptus_cuprea,E_cuprea,
Eucalyptus cupularis,Eucalyptus_cupularis,E_cupularis,N
Eucalyptus curtisii,Eucalyptus_curtisii,E_curtisii,S
Eucalyptus cyanophylla,Eucalyptus_cyanophylla,E_cyanophylla,Y
Eucalyptus cyclostoma,Eucalyptus_cyclostoma,E_cyclostoma,Y
Eucalyptus cylindriflora,Eucalyptus_cylindriflora,E_cylindriflora,Y
Eucalyptus cylindrocarpa,Eucalyptus_cylindrocarpa,E_cylindrocarpa,Y
Eucalyptus cypellocarpa,Eucalyptus_cypellocarpa,E_cypellocarpa,S
Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus_dalrympleana,E_dalrympleana,N
Eucalyptus dawsonii,Eucalyptus_dawsonii,E_dawsonii,N
Eucalyptus dealbata,Eucalyptus_dealbata,E_dealbata,N
Eucalyptus deanei,Eucalyptus_deanei,E_deanei,N
Eucalyptus decipiens subsp. adesmophloia,NA,NA,Y
Eucalyptus decipiens subsp. chalara,Eucalyptus_decipiens,E_decipiens,Y
Eucalyptus decolor,Eucalyptus_decolor,E_decolor,N
Eucalyptus decorticans,Eucalyptus_decorticans,E_decorticans,N
Eucalyptus decurva,Eucalyptus_decurva,E_decurva,Y
Eucalyptus deflexa,Eucalyptus_deflexa,E_deflexa,Y
Eucalyptus delegatensis subsp. delegatensis,Eucalyptus_delegatensis,E_delegatensis,N
Eucalyptus delicata,Eucalyptus_delicata,E_delicata,S
Eucalyptus dendromorpha,Eucalyptus_dendromorpha,E_dendromorpha,N
Eucalyptus densa subsp. densa,Eucalyptus_densa,E_densa,S
Eucalyptus denticulata,Eucalyptus_denticulata,E_denticulata,N
Eucalyptus depauperata,Eucalyptus_depauperata,E_depauperata,Y
Eucalyptus desmondensis,Eucalyptus_desmondensis,E_desmondensis,Y
Eucalyptus deuaensis,Eucalyptus_deuaensis,E_deuaensis,Y
Eucalyptus dielsii,Eucalyptus_dielsii,E_dielsii,N
Eucalyptus diminuta,Eucalyptus_diminuta,E_diminuta,Y
Eucalyptus diptera,Eucalyptus_diptera,E_diptera,N
Eucalyptus discreta,Eucalyptus_discreta,E_discreta,Y
Eucalyptus dissimulata,Eucalyptus_dissimulata,E_dissimulata,Y
Eucalyptus distans,Eucalyptus_distans,E_distans,N
Eucalyptus diversicolor,Eucalyptus_diversicolor,E_diversicolor,
Eucalyptus diversifolia subsp. diversifolia,Eucalyptus_diversifolia,E_diversifolia,Y
Eucalyptus dives,Eucalyptus_dives,E_dives,N
Eucalyptus dolichocera,Eucalyptus_dolichocera,E_dolichocera,S
Eucalyptus dolichorhyncha,Eucalyptus_dolichorhyncha,E_dolichorhyncha,N
Eucalyptus dolorosa,Eucalyptus_dolorosa,E_dolorosa,Y
Eucalyptus doratoxylon,Eucalyptus_doratoxylon,E_doratoxylon,S
Eucalyptus dorrigoensis,Eucalyptus_dorrigoensis,E_dorrigoensis,N
Eucalyptus drummondii,Eucalyptus_drummondii,E_drummondii,Y
Eucalyptus dumosa,Eucalyptus_dumosa,E_dumosa,Y
Eucalyptus dundasii,Eucalyptus_dundasii,E_dundasii,N
Eucalyptus dunnii,Eucalyptus_dunnii,E_dunnii,N
Eucalyptus dura,Eucalyptus_dura,E_dura,N
Eucalyptus dwyeri,Eucalyptus_dwyeri,E_dwyeri,S
Eucalyptus ebbanoensis subsp. ebbanoensis,Eucalyptus_ebbanoensis,E_ebbanoensis,Y
Eucalyptus educta,Eucalyptus_educta,E_educta,Y
Eucalyptus effusa,Eucalyptus_effusa,E_effusa,S
Eucalyptus elaeophloia,Eucalyptus_elaeophloia,E_elaeophloia,S
Eucalyptus elata,Eucalyptus_elata,E_elata,S
Eucalyptus elliptica,Eucalyptus_elliptica,E_elliptica,N
Eucalyptus erectifolia,Eucalyptus_erectifolia,E_erectifolia,Y
Eucalyptus eremicola subsp. eremicola,Eucalyptus_eremicola,E_eremicola,Y
Eucalyptus eremophila,Eucalyptus_eremophila,E_eremophila,N
Eucalyptus erythrandra,NA,NA,S
Eucalyptus erythrocorys,Eucalyptus_erythrocorys,E_erythrocorys,S
Eucalyptus erythronema var. erythronema,Eucalyptus_erythronema,E_erythronema,S
Eucalyptus eudesmioides subsp. eudesmioides,Eucalyptus_eudesmioides,E_eudesmioides,Y
Eucalyptus eugenioides,Eucalyptus_eugenioides,E_eugenioides,N
Eucalyptus ewartiana,Eucalyptus_ewartiana,E_ewartiana,Y
Eucalyptus exigua,Eucalyptus_exigua,E_exigua,Y
Eucalyptus exilipes,Eucalyptus_exilipes,E_exilipes,N
Eucalyptus exilis,Eucalyptus_exilis,E_exilis,Y
